eng_dep_surp,zh_dep_surp,
2.2404108,1.874078,-0.3663328
4.4526043,2.8042257,-1.6483786
1.4023557,3.1103249,1.7079692
4.4750533,5.777278,1.3022247
5.775784,3.8068547,-1.9689293
5.0336037,4.361018,-0.6725857
3.7478285,4.5462027,0.7983742
5.7049494,4.1920004,-1.512949
3.4158604,5.7178507,2.3019903
3.837476,4.9752655,1.1377895
6.3564982,5.9818206,-0.3746776
2.9930096,3.3842068,0.3911972
4.165907,3.7972617,-0.3686453
1.8841735,5.944071,4.0598975
3.3210077,5.369177,2.0481693
5.0878115,3.8214006,-1.2664109
4.3681817,4.9258785,0.5576968
5.913364,5.477618,-0.435746
2.9326909,3.8881364,0.9554455
2.9658184,5.4090266,2.4432082
5.2593937,4.5462027,-0.713191
5.64065,3.9746945,-1.6659555
4.5008907,6.1990705,1.6981798
2.6707957,4.6307087,1.959913
0.36410666,4.8493905,4.48528384
0.36410666,5.7886634,5.42455674
5.741343,2.4649832,-3.2763598
2.832657,3.677875,0.845218
5.732861,6.42544,0.692579
3.0267184,6.1578684,3.13115
4.6032186,4.5470214,-0.0561972
5.165313,3.498713,-1.6666
4.695097,3.470489,-1.224608
3.7202806,5.0794287,1.3591481
0.36410666,6.228681,5.86457434
6.310458,2.7602558,-3.5502022
3.753338,5.951422,2.198084
4.093249,5.9348183,1.8415693
3.9212816,5.958043,2.0367614
3.842272,5.507954,1.665682
5.0878115,1.8131679,-3.2746436
5.575343,2.567122,-3.008221
2.8277843,5.9348183,3.107034
3.42387,6.228681,2.804811
3.5350714,5.4345584,1.899487
3.2560484,5.388315,2.1322666
3.7591515,4.0208216,0.2616701
5.9345765,3.6871197,-2.2474568
5.7049494,1.658982,-4.0459674
3.2323453,5.981033,2.7486877
4.2371154,4.1920004,-0.045115
4.697758,6.1155834,1.4178254
6.3087564,3.401777,-2.9069794
2.729534,6.1155834,3.3860494
6.121278,6.1155834,-0.0056946
3.1923926,5.2029443,2.0105517
2.9658184,5.9348183,2.9689999
4.7895617,5.5654106,0.7758489
3.177309,5.223859,2.04655
3.4367576,6.177722,2.7409644
3.8211875,5.867935,2.0467475
5.9794664,1.4971118,-4.4823546
6.70369,3.775039,-2.928651
2.8090277,1.8367858,-0.9722419
4.4013457,6.228681,1.8273353
3.4158604,5.0220165,1.6061561
3.12051,5.4948006,2.3742906
5.732861,4.4445047,-1.2883563
5.7049494,1.658982,-4.0459674
6.253027,6.228681,-0.024346
2.969244,6.1155834,3.1463394
5.7049494,1.2628695,-4.4420799
0.36410666,6.5526805,6.18857384
2.090656,5.223859,3.133203
