sentence id,word id,word,head id,head,deprel
4990,1,有,4,加威,acl:relcl
4990,2,需要,1,有,obj
4990,3,的,1,有,mark:relcl
4990,4,加威,17,看,nsubj
4990,5,17669615881,7,层,nummod
4990,6,该楼,7,层,compound
4990,7,层,17,看,nsubj
4990,8,疑似,9,违规,advcl
4990,9,违规,17,看,advcl
4990,10,已,14,隐藏,advmod
4990,11,被,14,隐藏,aux:pass
4990,12,系统,14,隐藏,nsubj
4990,13,折叠,14,隐藏,advcl
4990,14,隐藏,17,看,advcl
4990,15,此,16,楼查,det
4990,16,楼查,14,隐藏,obj
4990,17,看,0,root,root
4990,18,此楼,17,看,obj
4990,19,我,21,报名,nsubj
4990,20,要,21,报名,aux
4990,21,报名,34,看,advcl
4990,22,该,23,楼,det
4990,23,楼,24,层,compound
4990,24,层,21,报名,obj
4990,25,疑似,26,违规,advcl
4990,26,违规,31,隐藏,advcl
4990,27,已,31,隐藏,advmod
4990,28,被,31,隐藏,aux:pass
4990,29,系统,31,隐藏,nsubj
4990,30,折叠,31,隐藏,advcl
4990,31,隐藏,34,看,advcl
4990,32,此,33,楼查,det
4990,33,楼查,31,隐藏,obj
4990,34,看,17,看,ccomp
4990,35,此楼,38,报名,nsubj
4990,36,我,38,报名,nsubj
4990,37,要,38,报名,aux
4990,38,报名,34,看,ccomp
4990,39,！,17,看,punct
4990,1,该,2,楼层,det
4990,2,楼层,12,看,nsubj
4990,3,疑似,12,看,advcl
4990,4,违规,12,看,csubj:pass
4990,5,已,12,看,advmod
4990,6,被,9,隐藏,aux:pass
4990,7,系统,8,折叠,nsubj
4990,8,折叠,9,隐藏,advcl
4990,9,隐藏,12,看,advcl
4990,10,此,11,楼查,det
4990,11,楼查,12,看,nsubj
4990,12,看,0,root,root
4990,13,此楼,12,看,obj
4990,14,一,15,年,nummod
4990,15,年,17,考mba,nmod:tmod
4990,16,制免,17,考mba,advcl
4990,17,考mba,12,看,ccomp
4990,18,，,12,看,punct
