,sent_type,university,sent_id,aligned_to,original_sentence,translation,word_id,first_cs_word_form,first_cs_word_translation,frequency_negative_ln_first_cs_word_trans,surprisal_first_cs_word_trans,pos_tag_first_cs_word_trans,governor_first_cs_word_trans,deprel_first_cs_word_trans,surprisal_values,average_surprisal,bilingual_corpus_frequency_negative_log_first_cs_word,bilingual_corpus_frequency_negative_log_first_cs_word_trans,length_first_cs_word_form,length_first_cs_word_trans,dependency_distance,if_it_is_root,if_previous_word_is_punctuation,surprisal_of_previous_word
23,non-code-switch,CMU,5422,CMU_18, ,房屋 类型 ： 一 室 一 厅 （ 顶楼 ） ， 带 厨房 和 独立 卫生间 。,15,,独立,35.4296540546031,3.603207,JJ,16,amod,8.677697 4.184409 1.523057 1.720477 4.343655 1.20412 0.2688453 1.698437 6.344204 1.817231 0.9243132 4.133144 4.795089 1.306866 3.603207 3.439133 0.8859594,2.9923437588235284,,8.041953234997894,,2,1,0,0.0,1.306866
25,non-code-switch,CMU,5757,CMU_19, ,附近 有 很多 餐馆 。,3,,很多,35.556189034738814,1.7976729999999999,CD,4,dep,4.302052 0.4771213 1.797673 3.800745 0.9460527,2.2647287999999994,,8.515737587083537,,2,1,0,0.0,0.47712129999999997
27,non-code-switch,CMU,289,CMU_22, ,精装 修 家具 全 免费 无线 上网 ！,5,,免费,38.153624736746146,5.015528,JJ,7,amod,5.804013 4.939471 5.585263 3.700925 5.015528 2.859978 0.5855799 4.771749,4.1578133625,,7.721785707401626,,2,2,0,0.0,3.700925
29,non-code-switch,CMU,3463,CMU_25, ,空间 很大 ， 房子 也 很 新 。,2,,很大,38.77016988288672,3.569699,JJ,4,dep,4.558663 3.569699 0.2684461 5.395615 1.353971 2.497293 3.896009 0.930927,2.8088278875,,10.402807236115915,,2,2,0,0.0,4.558663
31,non-code-switch,CMU,7245,CMU_26, ,全新 白色 陶瓷 水杯 。,2,,白色,38.20552955901573,4.957034999999999,JJ,3,amod,4.867811 4.957035 3.504478 7.298209 1.004318,4.3263702,,12.012245148550015,,2,1,0,0.0,4.867811
33,non-code-switch,CMU,288,CMU_30, ,卧室 无 窗 但 有 独立 卫浴 ， 中央 空调 。,7,,卫浴,44.216946858774854,4.359614,NN,10,dep,6.527233 4.286928 3.514555 4.000649 4.211991 3.467998 4.359614 1.804378 3.705465 5.61005 1.728974,3.928894090909091,,9.709660055555974,,2,3,0,0.0,3.467998
35,non-code-switch,CMU,7558,CMU_31, ,包含 哪些 东西 ？,2,,哪些,37.29180707162145,3.6046099999999996,DT,3,det,4.180467 3.60461 2.731296 2.820885,3.3343144999999996,,12.012245148550015,,2,1,0,0.0,4.180467
37,non-code-switch,CMU,2815,CMU_33, ,在我看来 没 缺点 了 ！,2,,没,35.525986718597686,5.0915029999999994,VE,5,dep,7.042348 5.091503 5.333151 3.41627 2.998058,4.7762660000000015,,8.16209754683996,,1,3,0,0.0,7.042348
39,non-code-switch,CMU,252,CMU_35, ,有 专人 负责 接受 、 保管 包裹 ， 提供 免费 上门 维修 活动 。,2,,专人,39.10103681073801,4.54617,NN,3,nsubj,2.715695 4.54617 0.7067953 3.939587 2.828663 4.906217 5.613455 1.186566 3.360188 2.139819 6.675167 2.343532 3.123587 0.4196835,3.1789374857142856,,11.319097967990071,,2,1,0,0.0,2.715695
41,non-code-switch,CMU,4866,CMU_36, ,希望 能 方便 上学 就好 。,4,,上学,38.96553170004484,4.138173999999999,VV,3,ccomp,4.628299 1.243639 3.395406 4.138174 10.51329 1.427697,4.2244175,,10.066334999494703,,2,1,0,0.0,3.395406
43,non-code-switch,CMU,4251,CMU_45, ,诚心 想 租 的 话 价格 好 商量 。,3,,租,38.661000180134685,5.593042,VV,5,acl,6.527233 4.281509 5.593042 1.484861 3.347488 5.285594 4.445062 4.039603 1.119376,4.013751999999999,,7.708180055345847,,1,2,0,0.0,4.281509
45,non-code-switch,CMU,2975,CMU_46, ,就近 有 公交 车站 和 校 车站 。,4,,车站,39.01579386573926,4.197186,NN,7,conj,6.258925 2.785783 4.47526 4.197186 2.223981 4.972335 4.102314 0.8276999,3.7304354875,,9.44729579108848,,2,3,0,0.0,4.47526
