,sent_type,university,sent_id,aligned_to,original_sentence,translation,word_id,first_cs_word_form,first_cs_word_translation,frequency_negative_ln_first_cs_word_trans,surprisal_first_cs_word_trans,pos_tag_first_cs_word_trans,governor_first_cs_word_trans,deprel_first_cs_word_trans,surprisal_values,average_surprisal,bilingual_corpus_frequency_negative_log_first_cs_word,bilingual_corpus_frequency_negative_log_first_cs_word_trans,length_first_cs_word_form,length_first_cs_word_trans,dependency_distance,if_it_is_root,if_previous_word_is_punctuation,surprisal_of_previous_word
413,non-code-switch,CMU,669,CMU_585, ,房租 : 每 月 $495+ 煤 水电 。,3,,每,34.589157458592574,4.021057,DT,4,det,6.258925 4.265259 4.021057 3.695545 10.51329 5.050694 6.171611 1.845098,5.227684875,,8.348683502420371,,1,1,0,1.0,6.258925
415,non-code-switch,CMU,5356,CMU_586, ,这个 时间 比较 尴尬 ， 所以 他 愿意 多 出 些 钱 。,2,,时间,34.550851541485784,2.922437,NN,4,nsubj,2.896868 2.922437 3.278809 5.337593 0.7403627 1.961263 1.521238 3.773466 3.231478 2.252316 4.909256 2.409329 0.8668415,2.7770197846153843,,8.228055514631755,,2,2,0,0.0,2.896868
417,non-code-switch,CMU,4062,CMU_587, ,若 有 兴趣 ， 还 可以 发 具体 照片 哈 。,5,,还,33.49423605842656,2.559916,AD,7,advmod,3.118308 1.587288 3.854137 0.9000635 2.559916 1.314212 4.346532 4.98771 4.889236 5.271917 2.607142,3.2214965,,7.407074962561926,,1,2,0,1.0,3.854137
419,non-code-switch,CMU,2037,CMU_592, ,各个 房间 （ 卧室 、 卫生间 、 客厅 、 厨房 ） 均 有 窗户 ， 采光 通风 正常 。,16,,采光,43.17180642669857,5.863434,NN,17,compound:nn,4.498665 2.872042 2.29936 6.740094 0.9770508 1.860346 0.5509075 4.860315 0.30103 1.623803 2.532062 3.453453 1.163161 4.926255 0.7998947 5.863434 1.37026 5.258134 1.504228,2.8133944736842107,,9.44729579108848,,2,1,0,1.0,4.926255
421,non-code-switch,CMU,2713,CMU_597, ,厨房 ， 厕所 客厅 和 白人 女生 共用 。,8,,共用,40.057617218679106,10.16642,JJ,7,dep,5.637844 0.9667723 5.520352 6.249668 1.358081 4.140968 5.77266 10.51329 1.427697,4.6208147,,11.319097967990071,,2,1,0,0.0,5.77266
423,non-code-switch,CMU,3997,CMU_598, ,房间 ： 全新 木头 地板 ， 全新 窗户 和 纱窗 ， 全新 的 门 。,4,,木头,40.61708552721653,6.232826,NN,5,compound:nn,5.415995 2.870081 5.07368 6.232826 2.307971 1.241405 5.003355 5.92321 1.453529 6.645478 1.484274 4.957963 0.3446413 4.381485 0.8220735,3.61053112,,11.319097967990071,,2,1,0,0.0,5.07368
425,non-code-switch,CMU,1799,CMU_601, ,户型 : 一 室 一 厅 ， 客厅 面积 很 大 ， 采光 很 好 ， 也 很 通风 。,15,,好,33.99205262349187,3.5596330000000003,VA,11,conj,6.482378 2.276336 2.878042 4.314235 1.20412 0.2688453 0.7224511 6.452588 3.211471 5.462387 3.383542 1.350056 3.886795 4.449023 3.559633 1.364868 1.847827 2.778841 5.249362 1.213403,3.1178101700000003,,6.786498474836817,,1,4,0,0.0,4.449023
427,non-code-switch,CMU,4473,CMU_604, ,全 木 地板 ， 比 地毯 卫生 ， 方便 打扫 。,7,,卫生,35.586443760029994,5.298121,NN,10,nmod:prep,3.75513 4.69256 4.499479 1.169154 3.361665 6.023832 5.298121 1.674762 3.965215 6.51824 1.393913,3.850188272727273,,10.066334999494703,,2,3,0,0.0,6.023832
429,non-code-switch,CMU,3857,CMU_606, ,现 入住 还 送 一 套 实木 书桌 ， 实木 小 柜子 以及 一 张 转椅 ， 价格 还 可 面议 进一步 优惠 。,7,,实木,46.44527814324332,7.312246000000001,NN,8,compound:nn,3.529129 6.15269 3.626364 3.493322 2.177702 2.312462 7.312246 6.567556 0.8406437 7.133207 3.685331 6.921694 3.572448 2.134174 1.462086 5.326414 1.353351 4.356595 2.340804 1.97087 8.729395 4.326229 5.691507 0.7147501,3.9887904083333336,,12.012245148550015,,2,1,0,0.0,2.312462
431,non-code-switch,CMU,5458,CMU_608, ,房间 另外 一 扇 门 通向 阳台 和 后院 。,7,,阳台,39.96702333653981,5.643639,NN,9,conj,5.415995 4.387804 1.38658 4.259639 4.573255 3.590605 5.643639 1.626884 5.001562 0.8346568,3.67206198,,9.932803606870179,,2,2,0,0.0,3.5906050000000005
433,non-code-switch,CMU,83,CMU_610, ,本人 很 和善 ， 好 说话 ， 热心肠 。,3,,和善,42.048608064221405,3.744676,VV,0,root,5.073573 2.727612 3.744676 0.2729289 4.01179 5.576811 0.6720093 8.429308 1.704822,3.5792811333333336,,11.319097967990071,,2,0,1,0.0,2.7276119999999997
435,non-code-switch,CMU,4334,CMU_611, ,一 个 卫生间 ， 但是 三 个 男生 ， 问题 不 大 。,8,,男生,40.6410286230358,3.5998099999999997,NN,12,nmod:topic,2.791026 5.592477 4.93294 0.4988647 2.445313 3.156705 0.6532125 3.59981 0.7366862 4.663276 2.112911 3.644157 1.985443,2.8317554923076926,,8.644949318563544,,2,4,0,0.0,0.6532125
437,non-code-switch,CMU,2702,CMU_614, ,租金 暂 定 $600 包 水 ， 价格 有 兴趣 者 可以 再 商量 。,1,,租金,38.29400493714088,7.042348,NN,3,nsubj,7.042348 5.552853 3.847158 10.51329 4.622641 4.397499 0.9689505 4.532342 2.910591 3.782563 3.022636 2.289207 2.894004 5.405442 1.119376,4.193393366666667,,9.304194947447806,,2,2,0,,
439,non-code-switch,CMU,5541,CMU_615, ,卧室 $430 / month ， 水 ， 电 ， 气 ， 暖 ， 网 全 包 。,14,,网,37.00977086547229,4.910261,NN,16,nsubj,6.527233 10.51329 3.159547 5.642438 1.955411 4.329085 1.409803 4.871727 2.485719 4.928097 2.324502 5.57693 1.478074 4.910261 4.924475 4.892569 1.164418,4.181975235294117,,9.304194947447806,,1,2,0,1.0,5.57693
441,non-code-switch,CMU,2818,CMU_618, ,交通 : 相当 之 便利 ！,1,,交通,35.68231056619373,4.374603,NN,5,dep,4.374603 4.989781 5.471318 2.511916 4.45227 5.087666,4.4812590000000005,,9.121873390653851,,2,4,0,,
443,non-code-switch,CMU,5884,CMU_624, ,公寓 里 包含 了 冰箱 ， 暖气 ， 烤箱 ， 厨房 设备 等 一系列 家庭 设备 。,11,,厨房,38.67293858270291,5.441994,NN,12,compound:nn,4.876083 1.469267 3.328389 0.3627756 4.927675 1.465686 6.684983 1.143907 6.85007 1.003091 5.441994 4.582077 1.944572 3.10948 3.739355 4.841461 0.9512744,3.336596470588236,,7.807552529159051,,2,1,0,1.0,6.85007
445,non-code-switch,CMU,1583,CMU_626, ,公寓 管理 到位 ， 设施 出现 问题 ， 修复 非常 及时 。,7,,问题,33.363117915548294,2.263747,NN,6,dobj,4.876083 3.089523 6.523479 0.4996546 4.78358 3.906171 2.263747 0.3121308 4.898232 4.494401 4.576591 2.632837,3.5713691166666663,,8.29867308184571,,2,1,0,0.0,3.906171
447,non-code-switch,CMU,2167,CMU_628, ,有意 请 联系 beeler .,3,,联系,35.04201754706734,3.6778449999999996,VV,1,ccomp,5.512905 2.671163 3.677845 10.51329 3.135041,5.1020487999999995,,7.008298842604558,,2,2,0,0.0,2.671163
449,non-code-switch,CMU,1806,CMU_629, ,而且 现有 家具 ， 只 需要 拎包 入住 。,2,,现有,41.585135142151536,4.513152,JJ,3,amod,4.159117 4.513152 4.433662 0.9882128 3.140856 1.462515 10.51329 5.243498 0.9292497,3.9315058333333335,,9.527338498762015,,2,1,0,0.0,4.159117
451,non-code-switch,CMU,302,CMU_638, ,我 是 女生 ， 房间 非常 干净 。,7,,干净,39.00347142963832,3.527501,VA,3,conj,3.527254 1.29398 4.887163 0.6368221 5.145078 4.595326 3.527501 1.14178,3.0943630125,,8.228055514631755,,2,4,0,0.0,4.595326
453,non-code-switch,CMU,212,CMU_644, ,加 一百 元 包 煤气 水 电网 。,4,,包,37.147225534092215,4.324808999999999,NN,7,compound:nn,3.602192 5.693194 1.710154 4.324809 6.347363 4.382315 4.916832 1.153328,4.016273375,,7.9013712843767046,,1,3,0,0.0,1.7101540000000002
455,non-code-switch,CMU,3604,CMU_645, ,一 人 $480 / 月 ， 两 人 $950 / 月 。,7,,两,33.712560300913054,2.684973,CD,8,dep,2.791026 2.500031 10.51329 3.159547 3.459783 0.7323937 2.684973 0.4726976 10.51329 3.159547 3.459783 0.96393,3.7008576083333327,,6.618617602197657,,1,1,0,1.0,3.4597830000000003
457,non-code-switch,CMU,2036,CMU_647, ,一 个 宽敞 的 客厅 ， 一 间 共享 的 厨房 。,5,,客厅,39.62193529485629,5.132039,NN,0,root,2.791026 5.592477 5.147136 0.3227735 5.132039 0.8154756 2.642704 2.233454 3.563415 0.6294762 4.927988 0.9751764,2.897761725,,7.6302185138761365,,2,0,1,0.0,0.3227735
459,non-code-switch,CMU,2508,CMU_654, ,房子 我 去 看 过 ， 洗手间 刚刚 装修 过 很 新 ， 现在 住 客厅 的 人 拉 了 一 个 屏风 ， 使得 整个 空间 非常 独立 。,1,,房子,37.40390285781066,5.512905,NN,4,nmod:topic,5.512905 3.560143 2.837706 2.372229 2.85223 1.417271 5.781075 5.825946 5.660246 2.424114 3.406582 4.19216 0.3125786 3.203913 4.308907 6.088745 1.254541 2.385556 4.660251 2.726886 1.558129 6.275155 6.18503 1.081437 2.959291 2.402211 2.633698 3.240769 4.045405 1.308559,3.4157889533333328,,7.084991463392812,,2,3,0,,
461,non-code-switch,CMU,4010,CMU_655, ,出租 情况 ： 现有 一 客厅 可以 入住 ， 限 男生 。,4,,现有,41.585135142151536,4.874402,JJ,6,amod,5.886802 3.16865 2.10974 4.874402 2.413924 7.158818 3.223316 4.325171 1.06923 5.008043 5.881934 1.370628,3.8742215,,9.527338498762015,,2,2,0,1.0,3.16865
463,non-code-switch,CMU,7085,CMU_656, ,已 找到 需要 的 家具 啦 ！,3,,需要,34.275908174304426,3.504661,VV,5,acl,3.881124 3.501881 3.504661 0.4988647 4.829384 5.647578 1.060173,3.2748093857142853,,7.330113921425798,,2,2,0,0.0,3.5018809999999996
465,non-code-switch,CMU,7265,CMU_661, ,线 和 耳机 分离 的 设计 可以 降低 耳机 损坏 的 可能性 ， 延长 使用 时间 。,10,,损坏,38.6870762764114,5.375941,NN,12,nmod:assmod,4.044312 2.046629 5.386164 5.009861 0.9012063 2.037869 2.362637 2.30887 5.904252 5.375941 0.9185531 2.110563 0.6977238 4.838336 2.99111 3.170549 0.9806948,3.0050159411764703,,12.012245148550015,,2,2,0,0.0,5.904252
467,non-code-switch,CMU,2369,CMU_662, ,26，300 一 个 月 包 水 电网 ， 拎包 入住 。,6,,水,35.870134063253424,4.531502,NN,7,compound:nn,10.51329 2.366728 5.279712 1.215996 5.474126 4.531502 4.916832 0.9993513 10.51329 5.243498 0.9292497,4.725779545454546,,9.527338498762015,,1,1,0,0.0,5.474126
469,non-code-switch,CMU,1903,CMU_668, ,主 卧室 有 独立 卫生间 ， 另 两 个 卧室 共用 一 个 卫生间 。,11,,共用,40.057617218679106,10.16642,JJ,14,amod,3.726983 6.57567 3.141699 3.233178 2.684893 1.063136 3.091944 1.772924 0.6504375 4.601481 10.51329 2.366728 5.279712 4.93294 0.966715,3.640115366666666,,11.319097967990071,,2,3,0,0.0,4.601481
471,non-code-switch,CMU,6401,CMU_669, ,on+steamer 下面 蒸 米饭 ， 上面 蒸 点心 ！,6,,上面,36.95209273388055,3.908418,NN,7,nsubj,10.51329 4.607119 3.679752 2.607853 0.1978347 3.908418 6.391835 3.391275 2.855269,4.239182855555557,,10.625950787430126,,2,1,0,1.0,2.607853
473,non-code-switch,CMU,5944,CMU_673, ,公寓 内 有 洗衣机 ， 房间 内 有 空调 。,6,,房间,37.80790773343533,5.056071,NN,8,advmod:loc,4.876083 1.948921 2.402497 5.832986 1.115698 5.056071 4.138082 2.289129 4.165446 1.275931,3.3100844,,7.021812561771281,,2,2,0,1.0,5.832986
475,non-code-switch,CMU,4049,CMU_677, ,暖气 很 足 ， 可 调节 温度 ， 很 舒服 。,10,,舒服,38.674077141410734,3.751953,VA,3,conj,6.258925 4.247849 4.090488 1.348061 2.788854 3.144609 2.519991 0.6628999 3.847478 3.751953 0.7613617,3.0384063272727277,,9.614349875751646,,2,7,0,0.0,3.8474779999999997
477,non-code-switch,CMU,37,CMU_680, ,这个 房子 是 匹 大 拥有 的 ， 所以 房子 管理 得很 棒 ！,2,,房子,37.40390285781066,4.094051,NN,6,nsubj,2.896868 4.094051 1.902466 5.35546 1.027837 5.050814 1.272043 1.937016 1.788091 5.206382 4.273657 10.51329 4.71947 2.632255,3.7621214285714286,,7.084991463392812,,2,4,0,0.0,2.896868
479,non-code-switch,CMU,2974,CMU_681, ,房租 ： 每 月 $2000 。,4,,月,32.88193675789676,3.4620589999999996,NN,5,nsubj,6.258925 3.471599 3.650365 3.462059 10.51329 1.427697,4.797322499999999,,7.885110763504925,,1,1,0,0.0,3.6503650000000003
481,non-code-switch,CMU,3247,CMU_683, ,您 一定 会 找到 家 的 感觉 ！,7,,感觉,36.21111099617767,2.641584,NN,4,dobj,5.160723 2.760857 3.700801 3.600115 3.969769 1.212796 2.641584 2.686381,3.2166282500000007,,9.932803606870179,,2,3,0,0.0,1.212796
483,non-code-switch,CMU,142,CMU_685, ,公寓 附近 社区 很 安全 ， 周围 环境 很 好 。,1,,公寓,39.049879525011114,4.876083,NN,2,compound:nn,4.876083 2.704796 3.171581 4.516026 3.114697 0.3357921 4.207994 4.735251 3.42335 3.595524 1.655329,3.30331119090909,,7.358284798392494,,2,1,0,,
485,non-code-switch,CMU,3809,CMU_686, ,附件 是 房间 布局 。,3,,房间,37.80790773343533,5.621417,NN,4,compound:nn,5.361638 3.050569 5.621417 3.132491 1.058036,3.6448302000000004,,7.021812561771281,,2,1,0,0.0,3.050569
487,non-code-switch,CMU,2179,CMU_687, ,房东 是 不 是 还会 请 钟点工 打扫 厨房 客厅 和 厕所 。,8,,打扫,40.60469159595233,6.090634,VV,6,ccomp,6.258925 2.096591 2.568168 3.072737 10.51329 4.115591 7.484261 6.090634 5.546636 3.686547 1.358081 4.689154 0.69897,4.475352692307691,,9.932803606870179,,2,2,0,0.0,7.484261
489,non-code-switch,CMU,1857,CMU_688, ,一共 三 个 卧室 。,4,,卧室,40.2431744402093,4.7139999999999995,NN,0,root,4.509301 2.77681 0.9280026 4.714 1.107018,2.80702632,,7.1602148846304,,2,0,1,0.0,0.9280026
491,non-code-switch,CMU,2329,CMU_692, ,二 楼 三 间 卧室 可以 出租 。,5,,卧室,40.2431744402093,3.3798269999999997,NN,7,nsubj,3.222314 1.591621 3.038359 1.37026 3.379827 3.758317 5.301709 1.401864,2.883033875,,7.1602148846304,,2,2,0,0.0,1.37026
493,non-code-switch,CMU,4696,CMU_694, ,水 ， 电 （ 空调 ） ， 网 全 包 。,1,,水,35.870134063253424,3.9900260000000003,NN,10,nmod:topic,3.990026 2.629897 4.871727 1.919589 5.246558 0.8668415 1.425777 5.005031 4.924475 4.892569 1.164418,3.3579007727272727,,9.527338498762015,,1,9,0,,
495,non-code-switch,CMU,7568,CMU_695, ,有 车 ， 只要 人 来 开车 就 可以 。,2,,车,36.19710941805307,4.681575,NN,1,dobj,2.715695 4.681575 0.84432 3.732084 3.092806 3.012426 5.196677 2.773369 1.408872 2.358855,2.9816679,,7.951802138003598,,1,1,0,0.0,2.715695
497,non-code-switch,CMU,6077,CMU_698, ,以上 流程 是 师兄 办理 的 时候 的 经验 。,9,,经验,35.026123115180205,3.483539,NN,0,root,3.550299 5.153694 1.755149 5.744393 4.626942 2.014103 2.689172 2.739414 3.483539 0.7899338,3.25466388,,10.402807236115915,,2,0,1,0.0,2.739414
499,non-code-switch,CMU,5860,CMU_699, ,房子 很 新 ， 不 会 有 破旧 的 感觉 。,3,,新,33.70093484881479,3.892704,VA,7,dep,5.512905 3.009724 3.892704 0.3125786 2.972239 2.865629 2.047401 6.434323 0.3333287 3.549757 0.4618497,2.8538580909090907,,8.06100142996859,,1,4,0,0.0,3.0097240000000003
501,non-code-switch,CMU,5108,CMU_700, ,其他 生活 用品 也 很 齐备 ， 可以 拎包 入住 。,2,,生活,33.98538991871845,3.420006,NN,3,compound:nn,3.199917 3.420006 6.566152 2.612373 2.325765 7.592539 0.4807254 2.71848 10.51329 5.243498 0.9292497,4.145635918181818,,8.680040638374813,,2,1,0,0.0,3.1999169999999997
503,non-code-switch,CMU,803,CMU_713, ,因为 是 学校 的 房产 ， 物业 服务 特别 好 。,5,,房产,38.77920495723431,4.957655,NN,10,nmod:prep,2.896955 1.939256 3.665742 0.5137354 4.957655 0.6448947 4.962552 2.112203 4.745598 2.888764 0.6208094,2.7225604090909097,,9.614349875751646,,2,5,0,0.0,0.5137354000000001
505,non-code-switch,CMU,3563,CMU_714, ,房东 会 定期 雇人 打扫 房间 （ 主要 打扫 餐厅 ， 客厅 和 浴室 ） 。,8,,主要,33.87655116269933,3.0261970000000002,AD,9,advmod,6.258925 2.880013 3.027695 7.413381 6.135461 1.892583 2.141916 3.026197 7.649034 4.958795 0.8689193 5.965428 1.346236 4.798297 2.04507 0.8333549,3.827581575,,9.239656426310237,,2,1,0,1.0,1.8925830000000001
507,non-code-switch,CMU,1024,CMU_715, ,房租 是 $1437 ， 可 附带 便宜 转卖 或 赠送 部分 家具 。,8,,转卖,42.16519501472564,6.922194999999999,NN,6,dobj,6.258925 2.959615 10.51329 1.197862 2.753981 5.040694 5.448332 6.922195 1.729285 4.365292 3.08344 4.328123 1.259801,4.296987307692308,,12.012245148550015,,2,2,0,0.0,5.448332
509,non-code-switch,CMU,48,CMU_718, ,可以 一 个 人 用 一 个 卫生间 （ 卫生间 不 在 屋内 ） 。,4,,人,32.449927172699674,1.958433,NN,5,nsubj,3.535944 2.465631 5.689569 1.958433 2.679791 2.038394 5.667714 4.93294 2.53533 5.898289 3.720179 3.866924 4.52629 3.285568 0.863662,3.577643866666667,,6.894251336133263,,1,1,0,0.0,5.6895690000000005
511,non-code-switch,CMU,3699,CMU_720, ,联系 方式 kzhou .,1,,联系,35.04201754706734,5.6889970000000005,NN,2,compound:nn,5.688997 4.478161 10.51329 3.135041,5.95387225,,7.008298842604558,,2,1,0,,
513,non-code-switch,CMU,2328,CMU_722, ,如果 只 租 一 个 房间 ， 是 700-800一 个 月 。,8,,是,31.553283684116998,1.8641720000000002,VC,11,cop,2.949325 2.739671 3.97088 2.642889 5.461759 3.134434 0.4507122 1.864172 10.51329 2.7135 1.215996 0.96043,3.2180881833333332,,5.623683743004388,,1,3,0,1.0,3.134434
515,non-code-switch,CMU,5799,CMU_723, ,以下 是 房子 的 布局 和 图片 ， 请 参照 。,3,,房子,37.40390285781066,5.372682,NN,7,nmod:assmod,2.510343 0.6131006 5.372682 0.2218488 4.235694 1.225955 4.227612 0.7659168 3.665824 1.848189 1.594761,2.3892660181818184,,7.084991463392812,,2,4,0,0.0,0.6131006
517,non-code-switch,CMU,6698,CMU_726, ,白色 ， 配 天窗 ， 说明书 齐全 ， 两 把 钥匙 。,3,,配,37.55230997843885,2.8048,VV,0,root,4.311053 0.9901713 2.8048 6.767889 0.6630164 6.615544 6.121258 0.370216 2.780056 3.160048 2.013359 0.7998705,3.1164401,,10.625950787430126,,1,0,1,1.0,4.311053
519,non-code-switch,CMU,3576,CMU_727, ,目前 一 间 房 已 出 ， 还 剩 一 间 ， 欲 租 从速 。,11,,间,33.98378651361057,2.22763,M,10,mark:clf,2.62365 3.996273 2.083498 2.77951 3.977128 3.308549 0.9797242 3.382138 3.346904 1.176091 2.22763 1.717976 3.91551 5.509454 7.033877 1.661436,3.1074592625000004,,7.557897852296509,,1,1,0,0.0,1.176091
521,non-code-switch,CMU,5561,CMU_728, ,联系 方式 都 木 有 啊 还有 两 个 位置 。,8,,两,33.712560300913054,1.7261080000000002,CD,10,nummod,5.688997 4.478161 2.665772 5.400218 2.669007 4.806149 5.031762 1.726108 0.4241609 2.966954 0.7053102,3.3238726454545446,,6.618617602197657,,1,2,0,0.0,5.0317620000000005
523,non-code-switch,CMU,3707,CMU_729, ,公寓 周围 是 两 个 公园 ， 平时 安静 无 噪音 。,6,,公园,37.838670619067905,3.625495,NN,0,root,4.876083 4.155057 1.765132 2.816091 0.4208078 3.625495 0.6642079 4.528329 5.824558 3.426152 5.494024 0.9326992,3.2107196583333333,,9.304194947447806,,2,0,1,0.0,0.42080779999999995
525,non-code-switch,CMU,6927,CMU_730, ,非常 好 的 车 ， 没有 出 过 任何 事故 。,10,,事故,36.97909343946743,3.5672449999999998,NN,7,dobj,4.495176 1.924507 0.4098309 4.241098 0.7859874 3.21861 3.824688 5.514795 2.286361 3.567245 0.3273589,2.7814233818181817,,9.179031804493803,,2,3,0,0.0,2.286361
527,non-code-switch,CMU,7249,CMU_733, ,请 短信 注明 买 家具 。,4,,买,36.89959887805882,5.359474,VV,3,ccomp,4.366777 6.131726 5.828626 5.359474 3.217067 1.317173,4.3701405,,8.61104776688786,,1,1,0,0.0,5.828626
529,non-code-switch,CMU,3379,CMU_734, ,橱柜 是 木头 颜色 的 ， 大理石 台面 。,3,,木头,40.61708552721653,4.864304,NN,4,compound:nn,7.042348 2.467295 4.864304 4.776855 0.9927325 1.967548 6.086678 6.244648 0.744337,3.909638388888889,,11.319097967990071,,2,1,0,0.0,2.467295
531,non-code-switch,CMU,6304,CMU_738, ,椅子 （ 可 升降 ） ： $203 .,4,,升降,39.98961767580713,4.230926999999999,NN,3,dobj,5.886802 2.119338 3.487941 4.230927 3.014851 2.395643 10.51329 3.135041,4.347979125,,12.012245148550015,,2,1,0,0.0,3.487941
533,non-code-switch,CMU,2268,CMU_743, ,可以 节约 好多 时间 去 买 家具 运 家具 装 家具 。,7,,家具,38.99879812241052,2.065264,NN,6,dobj,3.535944 4.31697 6.225652 3.006564 2.618136 2.777211 2.065264 5.458876 5.601463 5.179615 5.703935 1.201446,3.974256333333333,,7.397124631708758,,2,1,0,0.0,2.777211
535,non-code-switch,CMU,4874,CMU_744, ,欢迎 联系 和 询问 住宿 情况 。,4,,询问,38.35281114668719,5.312498000000001,VV,2,conj,5.269867 5.499402 2.117415 5.312498 5.486353 3.6341 0.7192097,4.005549242857144,,10.625950787430126,,2,2,0,0.0,2.1174150000000003
537,non-code-switch,CMU,2303,CMU_745, ,房子 周围 的 草坪 我 会 来 剪 ， 完全 不用 担心 。,4,,草坪,39.8818839561415,5.050341,NN,8,nmod:topic,5.512905 2.721907 0.3125786 5.050341 4.186625 3.16876 3.296039 4.9589 1.319499 3.832133 3.382329 1.239227 1.038345,3.078429892307692,,10.91363285988191,,2,4,0,0.0,0.3125786
539,non-code-switch,CMU,2547,CMU_746, ,详情 请 在线 咨询 办理 ， 欢迎 有 诚意 办理 的 客户 咨询 !,9,,诚意,39.316862013151315,4.299169,NN,8,dobj,5.114965 5.182603 4.863635 4.301336 5.027596 1.509566 4.908756 3.525994 4.299169 4.851195 2.014103 4.231765 3.310895 4.886547,4.144866071428571,,11.319097967990071,,2,1,0,0.0,3.5259940000000003
541,non-code-switch,CMU,6563,CMU_747, ,一 个 不 带 盖子 ， 一 个 带 盖子 。,9,,带,35.138262413219955,3.740597,VV,4,conj,2.791026 5.592477 2.982126 2.376812 6.660641 0.7008141 2.602707 5.656124 3.740597 6.599681 1.11764,3.710967736363637,,8.205582658779697,,1,5,0,0.0,5.656124
543,non-code-switch,CMU,1577,CMU_753, ,匹 大 房产 ， 物业 服务 方便 而且 社区 安全 。,5,,物业,38.46820273092362,4.962552,NN,6,compound:nn,5.086936 1.532987 4.207884 0.8026438 4.962552 2.112203 4.745598 3.073443 4.53962 3.71827 1.122112,3.264022618181819,,8.428726210093908,,2,1,0,1.0,4.207884
545,non-code-switch,CMU,5773,CMU_754, ,这 是 学校 附近 最 热门 的 一 处 公寓 ， 没有 之一 。,3,,学校,35.007917095143085,3.555357,NN,4,compound:nn,2.328403 0.8585079 3.555357 3.061295 3.389093 2.676183 0.1188119 2.099067 1.890596 2.671956 1.14178 3.145656 3.418178 0.8059883,2.2257765785714283,,7.617795993877578,,2,1,0,0.0,0.8585079
547,non-code-switch,CMU,5706,CMU_761, ,我们 是 两 个 女生 。,5,,女生,39.815677012174014,3.839375,NN,0,root,3.478143 1.287868 2.380494 0.4208078 3.839375 1.211831,2.103086466666667,,8.06100142996859,,2,0,1,0.0,0.42080779999999995
549,non-code-switch,CMU,2356,CMU_769, ,一 楼 两 个 卧室 的 家具 齐全 。,5,,卧室,40.2431744402093,4.601481,NN,7,nmod:assmod,2.791026 5.695485 2.800488 0.9657912 4.601481 0.622718 4.646249 6.189115 0.8237057,3.2373398777777784,,7.1602148846304,,2,2,0,0.0,0.9657912000000001
551,non-code-switch,CMU,2058,CMU_770, ,已经 补充 了 其中 一 个 房子 的 链接 。,7,,房子,37.40390285781066,4.638225,NN,9,nmod:assmod,4.291057 5.046595 1.357839 3.269938 0.8044109 6.449655 4.638225 1.198682 4.200981 0.6196895,3.18770724,,7.084991463392812,,2,2,0,0.0,6.449655
553,non-code-switch,CMU,3802,CMU_772, ,房间 出租 ， 地理 位置 相当 好 ， 性价比 非常 高 ！,9,,性价比,42.71850039574064,6.3857040000000005,NN,11,nsubj,5.415995 3.491162 1.081215 4.743755 4.928254 3.058737 2.210315 0.7316084 6.385704 4.130677 1.615729 4.817459,3.5508842000000005,,8.485884623933856,,3,2,0,1.0,2.210315
555,non-code-switch,CMU,1711,CMU_773, ,一 楼 物业 管理 办公室 。,3,,物业,38.46820273092362,4.291936,NN,4,nsubj,2.791026 5.695485 4.291936 4.318769 5.188153 1.116344,3.9002855,,8.428726210093908,,2,1,0,0.0,5.695485
557,non-code-switch,CMU,2888,CMU_775, ,房子 在 匹兹堡 最 好 的 社区 。,1,,房子,37.40390285781066,5.512905,NN,2,nsubj,5.512905 2.080929 4.425626 3.47419 3.926188 0.5556167 4.026357 0.900185,3.1127495875,,7.084991463392812,,2,1,0,,
559,non-code-switch,CMU,3690,CMU_777, ,床 和 桌子 便宜 卖 ， 可 随时 拎包 入住 。,1,,床,38.860933817031736,5.361638,NN,3,conj,5.361638 2.081951 5.426673 5.659799 5.627924 1.212967 2.842214 3.038153 10.51329 5.243498 0.9292497,4.357941518181819,,7.311764782757602,,1,2,0,,
561,non-code-switch,CMU,5006,CMU_780, ,厨房 有 门窗 ， 可以 隔离 油烟 。,7,,油烟,44.67750063870175,7.375697,NN,6,dobj,5.637844 2.333195 5.595727 0.5049582 2.707763 4.513331 7.375697 1.588359,3.782109275,,12.012245148550015,,2,1,0,0.0,4.513331
563,non-code-switch,CMU,2936,CMU_790, ,三 到 五 分钟 可以 步行 到 松鼠 山 的 所有 餐厅 !,9,,山,36.981404216758506,3.413104,NN,6,dobj,2.927257 3.385543 0.6719512 1.87411 3.030021 3.863191 1.099839 5.643615 3.413104 1.259411 3.136098 4.04397 4.912225,3.0200257846153846,,9.815020571213797,,1,3,0,0.0,5.6436150000000005
565,non-code-switch,CMU,7537,CMU_791, ,美国 寄宿 家庭 服务 中心 作为 基于 美国 本土 的 教育 资源 服务 公司 ， 为 国际 高中生 提供 学校 申请 服务 ， 监护人 承担 ， 以及 寄宿 生活 管理 。,12,,资源,34.803982222582725,5.369708,NN,13,compound:nn,2.7692 5.977963 1.378351 2.778336 1.011549 3.264242 4.790705 2.570042 2.484334 0.7341567 3.390391 5.369708 3.108903 4.314379 0.629897 1.840868 3.203516 5.465209 2.140822 3.693441 3.516983 3.220727 0.7164789 6.775048 5.197998 1.220394 2.490963 5.26728 3.419677 3.514727 0.807092,3.1310767935483863,,11.319097967990071,,2,1,0,0.0,3.390391
