redone_eng_dep_surp,redone_zh_dep_surp
3.3263972,6.4697857
4.3052435,6.1990705
3.837476,5.2029443
2.1418862,1.2628695
3.3210077,2.7602558
4.8948503,5.828537
4.1384425,6.4697857
3.7149053,5.4948006
3.430358,5.5187154
2.2744253,5.9070067
3.430358,1.3195608
4.885365,5.9818206
3.2796116,5.597226
2.3193672,5.91022
3.4240394,6.5526805
5.9345765,4.759579
3.0263615,5.9348183
2.2005813,5.7178507
3.4251842,1.2953556
5.8024025,6.1990705
3.6236255,3.6504192
2.4998631,5.886589
4.584459,6.228681
4.2869234,5.9348183
4.9157834,6.1990705
2.4347825,5.748208
1.7187088,6.5526805
1.8888775,2.7602558
2.2404108,1.2628695
4.3052435,3.0084693
2.8277843,6.1578684
2.2404108,6.1155834
1.3976797,4.232131
3.4240394,6.5526805
4.8302565,6.1990705
3.6900704,5.6427546
2.9170341,6.5526805
2.2396877,6.1155834
2.8090277,5.3289967
4.7534657,6.1990705
6.633834,5.6963525
3.6236255,3.1174865
4.4884458,6.1155834
2.8277843,4.536529
2.9047165,3.6504192
4.702864,5.4256372
3.7326963,6.1155834
2.8390574,5.8242803
3.9340005,5.9348183
3.0263615,6.0358357
2.1418862,1.2628695
2.551594,6.7175035
3.7591515,3.7037864
2.8090277,3.7037864
2.9652362,5.3081903
1.5047227,6.228681
3.4251842,4.424312
4.033394,5.4948006
1.4023557,4.9681635
3.0675979,6.1155834
4.7752457,5.1646695
3.9488473,6.1155834
2.1418862,6.1990705
2.5458462,5.0928497
3.4211748,2.2696195
4.5859084,4.5148077
4.069137,3.9393752
2.8390574,5.8242803
3.4240394,5.9348183
3.7492769,4.4081473
3.3210077,2.7602558
4.702864,3.9154162
4.367756,6.1990705
2.459027,5.080369
3.775506,6.1990705
3.837476,3.6485424
3.0802975,5.4398365
2.3193672,5.91022
4.2701445,5.4256372
4.5475783,1.4971118
3.0957198,6.1155834
3.6397014,5.68717
3.2548647,2.7602558
4.702864,5.4256372
2.642039,6.1155834
5.9345765,6.4697857
3.4251842,5.9348183
3.837476,5.2029443
2.9170341,6.1155834
4.632563,5.7984285
5.2453346,2.995824
4.394889,4.6307087
4.866294,6.04153
3.842272,6.04153
5.249857,3.794532
4.2655845,6.04153
3.2985678,2.8042257
1.4023557,4.9681635
