non_cs_sentences_surps,cs_sentences_before_cs_surp,cs_sentences_cs_back_surp,cs_sentences_after_cs_surp,sample_zhwiki_surp
5.239348,6.1657844,3.5775623,7.1670523,5.898172
7.1670523,7.233137,6.207384,6.3825297,7.177044
7.1670523,7.3514414,6.953135,5.9517984,4.1897306
3.4168775,6.8726544,7.3514414,6.71046,6.9234123
7.249384,7.1807833,7.3514414,7.262256,7.1807833
3.0130775,7.1670523,7.3514414,7.1670523,7.1670523
6.8569107,5.096284,4.3535395,7.1670523,6.315496
6.904053,7.3514414,7.3514414,7.1670523,4.2091627
4.1666403,5.9269385,7.3514414,7.1670523,7.239988
7.2327523,6.4932313,7.344206,7.1670523,6.6841683
7.1735477,7.2278123,5.992529,7.1670523,7.1807833
7.1807833,6.4618325,7.310274,7.1670523,6.6841683
3.0130775,6.3242297,7.0391965,7.3514414,7.1735477
7.3514414,7.7021623,7.3514414,7.3514414,3.0268085
4.4276857,7.1807833,4.3535395,7.1598167,7.344206
7.8777566,7.3514414,7.3514414,7.1807833,6.6978993
7.1598167,5.096284,7.3514414,7.1670523,4.249358
7.1807833,7.481098,4.430604,5.580385,7.2105746
4.1666403,6.734556,3.5775623,7.2162104,4.1635075
7.239988,5.320925,7.3514414,7.1598167,7.2453756
7.1598167,7.263266,7.310274,7.1735477,4.2973504
7.1807833,5.225617,7.3514414,7.3514414,6.0291715
7.1670523,5.2262535,7.0391965,4.1759996,5.7918916
7.446082,7.772527,6.386715,7.21781,4.252456
3.0130775,6.429325,5.554334,7.1670523,6.460853
7.3514414,7.2138476,4.3535395,7.3514414,7.1111903
4.1759996,5.580385,7.3514414,3.4168775,5.3477836
7.21781,4.239819,4.3535395,7.249384,7.2045093
7.1670523,7.3514414,7.3514414,7.1670523,4.1759996
7.1670523,7.1598167,5.0079174,5.225617,7.21781
5.580385,7.3514414,7.3514414,5.7105103,3.0130775
5.762203,7.1670523,6.695786,5.762203,5.7686496
7.1875896,7.1670523,3.9106045,7.1875896,6.900917
3.0130775,6.558925,6.51126,7.3514414,7.240411
7.3514414,7.1807833,3.5775623,6.8726544,4.1759996
