,original_sentence,cs1_index,cs2_index,distance
393,顶 一下 ， 房子 还 available 哈 ！,5,7,2
394,basement 有 free landry and dryer .,0,1,1
395,房租 是 410/month 包 水 和 暖气 （ 冬天 省 了 一 大 笔 money ） 只 需要 share 电 和 网路 。,14,16,2
396,safety : 基本 邻居 全 是 学生 。,0,2,2
397,prefer 江浙 一带 的 人 有 兴趣 请 联系 em@70,0,1,1
398,有 兴趣 的 请 call pn-19,4,5,1
400,租金 $200 / month ， utility 全 包 。,3,6,3
401,另外 还 有 table light 、 小 架子 等 物品 ， 如果 你 购买 其他 家具 ， 可 直接 送给 你 。,3,5,2
403,【 房租 】 ： 我 的 lease 是 $749 .,6,7,1
404,一 室 一 厅 一 卫 房子 ， share 卫生间 。,8,10,2
405,本人 房间 干净 舒适 ， 朝阳 ， 有 一 张 queen size 的 大 床 ， 和 一 个 衣柜 。,10,13,3
406,且 neighbourhood 非常 安静 ， 安全 ， 夜晚 也 可 放心 行走 ， 附近 多 为 独立 house 。,1,2,1
407,还有 非常 nice 门房 帮 收 包裹 ， 帮 开门 。,2,3,1
408,大部分 pattern 很 明显 ， 一 看 就是 骗子 。,1,2,1
409,只 租 living room $330 。,2,3,1
410,或 whole apt $750 .,1,7,6
411,如果 你 对 生活 质量 要求 没 那么 高 ， 可以 一 个 住 living rm ， 一 个 住 br 。,14,11,1
412,设施 ： 公寓 basement 有 gym ， laundry ， party rm 。,3,4,1
414,我 暑假 要 出外 实习 ， 所以 bedroom 空 出来 了 。,7,8,1
415,位置 ： apartment 位于 squirrel hill 地区 。,2,3,1
416,房子 被 包租 婆 keep 得很 干净 整齐 ， 所有 人 都 比较 安静 ， 偶尔 会 一起 看 电影 ， 玩 board game ， 情趣 雅致 ， 气氛 和谐 。,4,5,1
418,大家 好 ， 我 的 apartment 在 highland park 。,5,6,1
419,送 写字 桌 ， queen size mattress+box ， 沙发 ， 拎包 入住 。,4,8,4
421,厅 超级 大 足够 放 king size bed 还有 桌子 椅子 还有 空 位置 ！,5,8,3
422,* 房间 设施 ： 独立 bedroom 大概 4m*5m 。,1,6,5
425,整个 apartment 有 四 个 卧室 ， 两 个 洗手间 。,1,2,1
427,house 是 上下 两 层 改造 成 的 apartment ， 出租 的 bedroom 位于 第二 层 。,0,1,1
428,顶 一下 ~ 再 顶 ~ 这 是 一 个 和 bedroom 几乎 一样 的 living room ， 可以 给 有 兴趣 的 同学 看 实物 图 ~,11,12,1
429,房子 信息 ： 是 一 个 house ， 共 三 层 ， 一 层 是 客厅 ， 厨房 。,0,8,8
430,the price : 公寓 出价 两 人 住 的 one bedroom one living room 是 $1100 .,0,2,2
434,匹 大 的 学生 公寓 college garden ， 很 方便 的 maintece service 。,11,8,2
435,还没有 尝试 用 easy recovery 软件 ， 听说 软件 层面 很 难 恢复 求 高手 帮忙 恢复 硬盘 ！,3,4,1
436,因为 是 学校 的 房产 ， 所以 你 必须 跟 学校 的 property management 签 合同 及 付 押金 。,12,14,2
437,我们 共同 share 的 公共 区域 希望 能 保持 卫生 。,2,3,1
440,1-3 个 bedroom 均可 。,2,6,4
441,（ 已 无效 ） 是 一 个 两 室 一 厅 的 apartment ， 两 个 房间 已 有 人 住 ， 现出 租客厅 。,12,7,1
442,如果 有 兴趣 的 可以 email 我 ： em@90,5,6,1
443,整 套 apt 位 于 一 栋 house 的 二 层 ， 三 室 两 厅 ， 中央 空调 ， 各 种 设施 齐全 而且 非常 新 !,2,3,1
444,house 有 中央 空调 循环 ， 通风 和 湿度 都 没有 没 问题 。,0,1,1
446,包含 utilities 么 ？,1,4,3
447,房子 是 两 个 bedroom （ 一 大 ， 一 小 ） ， 厨房 和 卫生间 都 很 大 。,4,6,2
448,具体 情况 可 面谈 ， 有 需要 的 同学 ， 直接 发 email 给 我 就 行了 。,12,13,1
449,about me : 多伦多 大学 本科 毕业 。,0,3,3
450,整个 apartment 还 包括 一 个 厨房 ， 一 个 餐厅 ， 和 一 个 卫生间 。,1,2,1
452,三 层 楼 豪宅 basement 带 车库 带 ， 现 租金 为 $500 一 个 月 不 包 utility ， 家具 齐全 ， 暑期 有意 sub-lease 剩下 三 个 月 的 同学 价格 好 商量 。,4,5,1
453,欢迎 email 联系 联系 方式 ： em@93,1,2,1
454,房间 内 有 air conditioner ， furniture 齐全 ， 可以 直接 拎包 入住 。,3,6,3
455,巨大 宽敞 的 全 装修 living room ， 2 .,5,7,2
456,living room 很大 ， 可以 放 full size 的 大 床 和 各 种 家具 。,0,2,2
457,虽然 是 客厅 ， 但是 有 隐私 ， 因为 两 个 房间 离 客厅 都 很 远 ， 中间 隔 有 dining room ， kitchen 还有 bathroom 相隔 ， 所以 互相 干扰 不 大 。,21,24,3
458,适合 交流 学者 或者 summer 过来 读书 的 女生 。,4,5,1
459,公寓 非常 安全 ， 服务 很 好 ， 每 天 白天 公寓 门口 都 有 非常 nice 的 门卫 大叔 负责 开门 、 收取 信件 包裹 。,6,17,11
461,出租 的 是 house 的 客厅 ， 地方 敞亮 ， 与 其他 屋子 相隔 ， 虽然 是 客厅 也 是 能够 有 隐私 的 。,3,1,1
462,我们 都 很 喜欢 这个 apt ， 生活 在 这里 很 方便 。,5,7,2
464,management 人 非常 nice 。,0,4,4
465,一 、 户型 布局 整 套 房子 有 两 间 bedroom ， 一 间 bathroom ， living room 及 dining room 。,10,11,1
466,房租 便宜 ： $450 全 包 ， 房租 ， 水电 ， wireless ， heating ， 全 都 包括 。,11,4,1
467,两 个 人 都 很 nice ， 不 喜欢 party 。,5,7,2
468,房子 可以 不 签 lease ， 但 需要 付 一 个 月 的 押金 。,4,6,2
469,一 间 大 的 bedroom ， 带 独立 卫生间 。,4,6,2
471,经常 要 去 shopping 的 同学 apt 两 室 一 厅,3,4,1
472,四 居室 的 house 需要 找 一 个 男性 roommate .,3,4,1
473,客厅 或者 share bedroom 都 可以 。,2,3,1
475,房子 的 lease 从 8 .,2,3,1
476,落脚 地方 真诚 请求 师兄 师姐 ， 如果 有 地板 空余 ， 恳请 短期 share 一 个 屋檐 救急 ， 可以 承担 短期 的 一些 租金 。,14,15,1
478,有 一 个 很 大 的 living room ， 两 个 较 大 的 closet ， 一 个 kitchen 。,6,8,2
479,平时 都 是 套 sheet 使用 ， 所以 很 干净 。,4,5,1
480,全新 的 baby safety mirror ， 可以 看到 坐在 rear face seat 上 小孩 的 情况 ， $5 。,2,6,4
481,刚刚 email 你 想 商量 一下 价格,1,2,1
482,主要 参数 如下 ： screen size : 34 .,4,7,3
483,颜色 是 purple 的 ， 很 舒服 ， 非常 实用 ！,2,3,1
484,前任 车主 都 是 学生 ， 车子 一直 都 在 dealer 定期 保养 ， 有 发票 。,10,13,3
485,客服 很 nice ， 丢 单 必 补 ， 从不 赖账 ；,2,4,2
486,但是 garden 确实 需要 提交 车辆 注册 信息 ， 这 就 是 为什么 我 想 在 plaza 求 个 车位 的 原因 。,1,2,1
487,当时 manager 就 会 给 发 一 张 停车 许可 的 sticker 。,1,2,1
488,写 paper 写 作业 必备 。,1,2,1
489,可 议价 ， 住 house 必备,3,5,2
491,因 本人 回国 ， t-mobile family plan 现 缺 一 人 ， 每 人 每 月 无线 通话 短信 2 .,5,7,2
493,最后 半 天 sale 了 ~,3,4,1
494,如果 想要 圣诞树 的 ornaments and skirt 可以 商量 ！,4,7,3
495,现有 两 块 white board 出售 ， 28*18 inches .,3,4,1
497,都 用 了 一 年 ， 而且 非常 爱惜 ， 所以 condition 很好 。,11,15,4
499,sold 还 卖 吗 ？,0,1,1
501,图片 请 右键 在 新 tab 打开 。,5,6,1
502,所有 保养 ， inspection ， 换 轮胎 全 都 是 在 奔驰 dealer 做 的 。,3,5,2
504,prepaid ， 用 多少 交 多少 。,0,3,3
505,希望 你 至少 在 plan 里 一 年 ， 按时 交 话费 ， 谢谢,4,5,1
508,clean title ， 毫无 事故 。,0,7,7
510,请 email 联系 ： em@115,1,2,1
512,因为 是 本人 的 第一 辆 车 ， 所以 非常 爱惜 ， 定期 dealer 做 保养 。,13,15,2
514,下面 是 suv 的 配置 ： feature include : 4-cyl 2 .,6,3,1
515,一 个 是 full size ， 另 一 个 是 queen size .,3,6,3
516,车主 是 第二 个 owner ， 是 个 妹子 ， 极其 爱惜 车 。,0,1,1
517,moving sale 出售 家具 ！,0,2,2
518,两 张 queen size 的 床 ， 宜家 购入 ， 很 新 ！,2,4,2
519,请问 ， area code 是 什么 .,2,4,2
520,link 里 能 看到 的 东西 都 是 available 的 ！,0,1,1
522,都 是 full size 可以 睡 两 个 人 。,2,4,2
523,无 任何 大 事故 ， clean title ， 定期 保养 ， 车况 良好 。,0,8,8
524,update 一下 。,0,1,1
525,一 个 queen size ， 一 个 full size 。,2,4,2
526,需要 事物 图片 的 message 我 ， 我 发给 你 。,4,5,1
527,联系 方式 pn-39 ， 请 先 text 一下 谢谢 ～,6,7,1
528,beats 音响 。,0,2,2
531,clean title ， 定期 保养 ， 车况 良好 。,0,4,4
532,打 电话 或 发 短信 皆 可 ， 现金 或 check 支付 。,10,11,1
533,第三 代 ipad ， 32g 内存 ， retina display 。,7,4,2
534,挂着 的 那个 是 burner ， 其他 的 是 candle holder 。,4,6,2
536,clean title ， 另外 此 车 还 在 bmw 的 warranty 之中 ！,0,4,4
537,车 非常 好 ， 可以 email 要 图片 。,5,6,1
539,因而 出售 之前 住 apartment 时 买 的 一 台 洗衣机 。,4,5,1
540,车辆 clean title ， 没有 涉及 任何 事故 。,1,4,3
542,求购 价格 适中 的 椅子 用来 coding ， 以及 书桌 上 用 的 台灯 。,6,8,2
543,吸尘器 已 出 ， box 还在,4,5,1
544,heater ， 住 house 的 同学 冬天 非常 需要 。,0,4,4
545,update : 刚 做 了 全套 的 刹车 系统 保养 ， 换 了 新 的 刹车 。,0,2,2
546,目前 匹兹堡 选择 at&t 的 用户 最多 ] 五 人 at&t 手机 plan ， 因为 一 个 成员 离开 匹兹堡 ， 现在 招 一 名 新生 加入 !,12,4,1
547,yard sale 在 哪里 ？,0,3,3
549,一边 开车 一边 说 ， call ， honey ， 然后 享受 轻松 惬意 双 手 free 的 开车 加 聊天 吧 ！,5,10,5
550,原来 跟 同学 住 客厅 ， 就 买 了 这个 衣架 （ 加 cover ） ， 方便 放 衣服 而且 可以 当 “ 墙 ” ， 当时 为了 提高 生活 品质 ， 就 狠心 买 了 ， 确实 不错 。,13,16,3
551,站 内 联系 ， thx 我 有 较小 书桌 加 转椅 出售 有 兴趣 我 发 图 到 你 邮箱,4,5,1
552,有 一 个 queen size 的 box spring 有 人 要 吗 ？,3,6,3
553,已 专业 清洗 ， 干净 整洁 ， size 相当 大 ， 大小 见 图片 。,7,8,1
555,moving sale 只 剩 最后 两 件 东西 了 ！,0,9,9
556,需要 的 请 在 这个 thread 回帖 。,5,6,1
557,车 的 状况 很 好 ， 没有 出 过 任何 大 的 mechanic 问题 。,12,13,1
558,moving sale - 高清 电视 ， 家具 和 汽车 。,0,2,2
560,moving sale 卖 家具 卖 杂货 。,0,2,2
561,已经 update 可 送 洗车 用具 如 有 问题 请 联系 一下 邮件 em@136,1,2,1
562,出 twin size mattress 一 个 。,1,4,3
563,只用 了 几 个 月 所以 现在 的 condition 除了 不 能 给 原 包装 可以 说 非常 好 。,8,9,1
564,moving sale 啦 ！,0,2,2
565,需要 床 （ 最好 是 full 以上 的 ） ， 桌子 ， 椅子 这些 。,5,7,2
566,有 被子 full size ， 特性 ： 暖和 又 轻便 。,2,5,3
567,只要 没 坏 没 bug 就 行 。,4,5,1
568,首先 ， 这 并不 是 所谓 的 apartment ， 而 是 一 个 house 里面 的 ， ground floor 。,7,9,2
569,有 口语 不 好 想 找 陪练 ， 或者 希望 找 native speaker 准备 面试 ， 文书 的 同学 可以 联系 他 。,11,15,4
570,proof that the vehicle is insured 列 了 四 种 proof ， 带 其中 一 种 就 行 了 吗 ？,0,6,6
571,每 学期 的 flex dollars 有 什么 用 ？,3,5,2
572,门口 就 可以 parking ， 超级 方便,3,5,2
574,求人 同行 ， 飞机 bus 都 可以 ， 住宿 也好 商量 。,4,5,1
575,我 和 几 个 同学 summer 要 去 纽约 实习 ， 找到 了 new jersey 的 住处 。,5,6,1
577,在 国内 有 驾照 ， 打算 租车 去 考试 ， 因为 是 permit 上路 开 所以 需要 有 驾照 的 同学 陪同 ， 请 电话 或 短信 联系 pn-52 ， 谢谢 ！,12,14,2
578,找 family plan 有 空位 的 join ， 或者 现在 还 没有 想要 签 family plan 的 同学 一 起 联系 方式 ： em@140,1,3,2
579,请 问 现在 能 confirm 我 了 吗 ？,4,5,1
580,房东 是 杨 太太 ， 人 很 nice ， 有 什么 问题 请 随时 联系 她 ： pn-0 可 留言,7,9,2
581,有 人 5/8 去 jfk 吗 ？,4,6,2
582,有 4/30 前往 jfk 的 吗 ？,3,5,2
583,hello ， 各位 ！,0,3,3
584,本人 男 ， park 校区 。,3,5,2
585,fall semester 已 出租,0,2,2
588,所以 请问 lease 是 八月 一日 开始 还是 六月 一日 ？,2,4,2
589,master 要 毕业 的 同学 看 过来 ~,0,1,1
590,而且 还 有 一些 签证 等 paperwork 需要 提前 处理 。,6,8,2
592,原价 $700 / m ， 现 只 需 $500 / m 。,3,5,2
593,去 专业 机构 quote 以后 重新 定价,3,4,1
594,爱 干净 ， 不 开 party ， 好 相处 。,5,7,2
597,没有 基础 ， 希望 利用 summer 时间 能够 集中 学习 一下 。,5,6,1
598,随时 可以 签 lease ， 今年 七月 底 或者 8 .,3,6,3
599,我 希望 找 妹子 火速 去 office 商量 这 件 事 。,6,7,1
600,会 优先 考虑 graduate student 和 女生 。,3,4,1
602,二 层 corner unit ， 采光 好 。,2,5,3
603,leasing office 有 健身房 和 游泳池 。,0,2,2
604,本人 第二 年 的 phd ， 有 一 只 超级 可爱 的 小 母 猫 ， 我 自己 话 不 多 ， 但是 遇到 投缘 的 人 或者 事情 ， 话 可以 很多 。,4,6,2
606,房间 很 大 ， 自 带 walk-in closet 和 卫生间 。,6,10,4
608,同 summer 新生 。,1,4,3
609,我 自己 有 tv mount （ 电视 挂 墙 上 的 架子 ） 。,1,3,2
610,还有 其他 几 张 信用卡 后面 再加 ， 各 个 信用卡 都 有 不同 的 福利 ， 比如 租车 保险 ， purchase cash back 等等 ， 感兴趣 的 请 自行 google 。,21,23,2
611,公寓 在 二楼 ， college court 比较 靠 里 的 building ， 很 安静 。,10,6,2
614,欢迎 男生 （ master or phd ） 咨询,3,7,4
615,至少 需要 两 间 卧室 （ 一 男 一 女 都 是 phd ） ， 或者 整 套 房子 。,12,15,3
616,房间 有 书桌 ， 衣柜 ， queen size 床 。,6,11,5
617,现在 已经 有 两 个 phd ， 一 男 一 女 ( 不 是 couple ) 。,5,7,2
618,jfk 不 去 了 ， 离 自己 的 目的地 太 远 。,0,2,2
619,无 事故 记录 （ clean title ， 可 提供 vin 报告 ） ！,5,8,3
620,hello ， 房东 微 信 一直 加 不 上 ， 有 什么 别的 联系 方式 吗 ？,0,3,3
621,直接 与 office 签约 。,2,4,2
624,【 update 】 房间 还在,1,3,2
625,我 有 个 apartment 在 downtown ， 感兴趣 联系 我 哦 pn-3,3,4,1
626,mid march 起 ， 一 年 。,0,2,2
627,申请 费 $35 / 人 ， 需要 和 office 签约 。,8,10,2
629,已 email 联系 ， 盼 回复,1,2,1
630,sorry 桌子 先 不 出 了,0,1,1
631,之前 无法 登陆 bbs 自行车 已 出,3,6,3
632,field ， 闲暇 时 可以 在 草坪 上 玩耍 。,0,2,2
633,fully furnished 拎包 入住,0,5,5
634,直接 和 office 签 lease,2,4,2
635,你 好 ， 想 问 一下 是 需要 share 卫生间 的 吗 ？,8,9,1
636,deposit 是 一 个 月 房租 。,0,1,1
637,和 microwave ， 拎包 入住 。,1,3,2
638,打算 近期 去 lancaster 一 趟 ， 当天 往返 ， 提供 ride 。,11,4,1
639,部分 家具 可 赠送 （ 床 为 full size ， 1 .,7,12,5
640,淡定 ， 面试 老师 很 nice 的 ， 后面 会 出 一 个 测评 报告 ， pass ， pass 但 建议 参加 课程 ， 不 pass 。,5,6,1
641,你 好 ， 请 问 床 queen 还 有 吗 ？,6,10,4
642,亲 ， 可以 看一下 full size 的 床 吗 ？,4,8,4
643,小区 内 经常 有 活动 ， 免费 零食 饮料 party 等等 。,9,10,1
644,海尔 洗衣机 portable 1 .,2,3,1
645,如果 恰好 你 能 提供 ride ， 请 联系 微 信 ： sinchy-tan,5,7,2
647,请 问 一下 summer 还 在 村里 教 开车 吗 ？,3,4,1
649,感谢 alex ， 人 很 nice ， 教 的 也 很 棒,5,3,3
650,师父 有 句 经典 名言 是 教 我们 how to drive ， 而 不 只是 how to take the test 。,8,11,3
652,有 需要 ride 的 同学 可以 联系 我 ！,2,3,1
653,ride 大部分 时间 都 有 ！,0,2,2
654,请 问 找到 ride 了 吗,3,4,1
655,可以 和 office 签 下 学年 租约 。,2,4,2
656,求 ride 12 .,1,3,2
658,一 个 check in 一 个 carry on 。,2,4,2
659,寒假 来临 ， 各位 同学 是否 需要 ride 去 机场 ？,7,8,1
660,两 室 友 皆 为 phd ， 安静 无 party,5,7,2
661,小区 环境 非常 好 ， 安静 无 party ， 隔壁 邻居 是 老 先生 和 太太 。,7,9,2
662,后来 又 买 了 state farm 的 房屋 保险 ， 也 是 随机 给 了 个 agent 。,16,6,2
663,但是 车 的 保险 的 agent 基本上 属于 那 种 没有 音信 的 那 种 ， 发 邮件 不 回 ， 打 电话 请 留言 的 。,5,6,1
665,ps ： 我 上面 提到 的 agents 都 是 外国人 ， 名字 就 不 透露 了 。,0,4,4
666,limited tort 主要 是 精神 赔偿 吧 ？,0,2,2
667,state farm 招 agent 的 程序 和 许多 公司 不同 。,3,2,2
668,ms yang ， 我 曾经 咨询 nationwide 的 agent 跟 我 说 不 需要 full tort .,9,3,2
669,感觉 我 的 agent 说 的 完全 不对 。,3,4,1
671,而 对于 评论 的 人 本身 而言 ， 确实 要 对 自己 的 review 负责 。,13,14,1
672,什么 情况 下 才 是 defamation ， 我 来 告诉 你 ， outright lying is considered defamation 。,5,7,2
673,关于 defamation 你 就 不要 混淆 视听 了 。,1,2,1
674,所以 我们 office 能 在 公司 连续 多 年 获得 legion of honor 等 荣誉 。,2,4,2
676,声明 ： anna 不 是 my agent ！,5,3,1
678,可以 和 office 续签 下 学年 租约 。,2,4,2
679,updated ： 二 楼 是 一些 房子 的 具体 信息 。,0,2,2
680,有 衣帽间 ， 两 人 share 一 个 卫生间 。,5,6,1
681,今天 遇到 一 个 骗子 ， 它 的 email 地址 是 em@6,8,9,1
682,我 有 token 需要 吗 ？,2,4,2
683,小区 office 如何 ？,1,3,2
684,last question ， 所以 你 朋友 推荐 去 那里 住 吗 ？,0,5,5
688,本人 phd ， 男 。,1,3,2
691,仅 去年 一 年 ， immigration daily 发布 了 近 1500+ 专业 法律 移民 文章 。,5,7,2
695,其次 是 要 准备 两 份 能 证明 你 住址 的 材料 （ utility bill ， 银行 statement ， 驾照 上 的 地址 ， 租房 lease ） 。,13,15,2
696,我 想 问 下 你 这个 的 model 是啥 ？,6,7,1
698,我们 building 旁边 就 是 个 公园 可以 跑步 散步 。,1,2,1
700,apartment 有 停车场 ， parking is free ；,0,1,1
701,期望 share 的 男生 是 学生 或 访问 学者 ， 爱好 卫生 ， 作息 规律 。,1,2,1
702,这个 小区 环境 很 好 ， 很 安静 ， 非常 适合 young couple 居住 。,11,13,2
703,parking 免费 。,0,1,1
704,mil 第二 次 亮 之后 ， 去 honda dealer 修 。,8,2,1
705,我的 困惑 ： 懂 车 的 同学 是否 知道 什么 地方 能够 检查 throttle body 和 它 的 wires .,13,14,1
706,state college 去 dc ， 提供 ride ， 可以 送到 目的地 。,6,2,2
709,更正 联系 信息 ： 请 发送 email 至 em@8,6,8,2
710,circle 社区 ( stratford,0,1,1
711,very good condition ， clean title ， no accident history ， pa inspected ， 报价 $7，000 ， 可以 议价 。,0,14,14
712,可 代为 与 office 联系 并 争取 ！,3,4,1
713,有偿 求 ride ， 7 .,2,4,2
716,本人 是 一 个 安静 整洁 无 不良 习惯 不 开 party 的 女生 。,11,12,1
717,【 the one 智能 电子琴 】 已 出,1,2,1
718,绝大多数 得到 心仪 offer 的 同学 ， 都 赢 在 了 起跑线 上 。,3,5,2
720,你 是 full time 学生 吗 ？,2,3,1
722,内容 不难 ， 但是 一 周 三 个 作业 三 个 quiz ， 两 周 一 个 exam ， 建议 在 暑假 这 种 比较 清闲 的 学期 上 。,11,13,2
723,闲暇 之 余 考 了 pa 的 property & casualty 和 life 的 保险 执照 。,7,6,1
725,送 king size 床 ~ 所有 家具 全 送 。,1,6,5
726,一 楼 一 个 卧室 ， 三 楼 两 个 卧室 ， 二 层 （ 公用 ） 是 living room ， 厨房 ， 1/2 卫生间 ， 阳台 。,18,20,2
727,小区 以 professional 住户 为主 。,2,5,3
729,因为 是 新 lease ， 所以 房子 非常 干净 。,3,6,3
730,车 一直 在 dealer 保养 （ 有 票据 ） ， 四月 底 才 保养 过 。,3,5,2
732,lease 可以 在 入住 后 去 房东 那里 签 。,0,2,2
733,赠送 gre 书,1,3,2
734,已经 打算 入手 他们 medium soft 的 了 。,4,6,2
735,bonus ： 因 现 住户 需要 回国 ， 如 确认 签约 ， 大部分 家具 免费 附送 （ 总 价值 逾 千 刀 ） 。,0,2,2
736,just dance 是 什么 意思 ？,0,1,1
737,屋内 其余 两 位 都 是 女 phd ， 离开 的 这 位 也 是 phd ， 所以 房屋 环境 安静 ， 适合 学习 。,7,9,2
738,deal 的 有 链接 吗 ？,0,1,1
739,求 村里 短 租 一 个 bedroom ， 时间 8 .,6,8,2
742,navigation system 导航,0,2,2
743,有 整 套 洗车 工具 ， 只要 不 是 final 期间 特别 忙 的 时候 ， 不 能 说 一尘不染 但 绝 不 会 有 肉眼 可 见 的 污点 。,9,11,2
744,求购 一 枚 modem ， 俗称 猫 ， 最好 是 cable 3 .,3,6,3
745,pass 还 在吗 ？,0,1,1
746,因 搬到 furnished 公寓 带 了 家具 ， 出售 自用 家具 。,2,5,3
747,搬家 出售 一 张 木质 书桌 ， 有 三 个 大 抽屉 ， size : 43 .,13,15,2
748,guest parking 还 需要 permit 吗 ？,0,2,2
750,目前 住 有 两 名 访问 学者 ( 男生 ) ， 人 都 很 nice ， 平时 可 一起 出行 购物 ， 周末 一起 出游 娱乐 。,14,16,2
753,两 名 physics phd 男生 ， 行李 不多 ， 没有 什么 家具 ， 一切 都 好 商量 ， 希望 有 多余 房间 的 同学 能 提供 一下 住处 。,2,4,2
754,可以 一起 租车 开 回来 或者 有偿 求 ride ， 可以 帮忙 开 。,8,9,1
755,因 本人 的 新 lease 8 .,4,6,2
756,接下来 amex 会 email 给 你 一 个 电话 号码 ， 打 过去 之后 把 你 的 护照 号 报 上去 就 可以 了 。,5,4,1
757,我 找 了 很久 floor plan ， 但是 真的 真的 没有 找到 。,4,7,3
758,要求 ： graduate student 及 以上 优先 。,2,3,1
759,undergraduate 学生 能 满足 物业 条件 也 可以 。,0,1,1
760,lease 8/1 开始 到 明年 7/31 一 年 。,0,2,2
762,lease 是 单独 签 这 一 间 卧室 ， 不 跟 别人 搅和 。,0,2,2
763,卧室 里 配 的 是 queen size 的 床 （ 相当于 国内 1 .,5,3,2
764,啊 勘误 ， queen size 的 床 是 一 米 五 的 ！,3,7,4
765,第二 年 开始 ， 是否 继续 ta 要 看 导师 有 没 有 funding 给 你 付 工资 和 学费 ， 很少 有 五 年 都 ta 的 人 ， 也 很 少 有 五 年 都 ra 的 人,6,8,2
767,floor plan 如下 ：,0,2,2
768,要求 爱 干净 ， 不 要 party prince ， 不 养 宠物 。,1,4,3
770,房子 到 bus 站 一 分钟 就 能 走到 ， 去 学校 非常 方便 ；,2,3,1
771,具体 lease 时间 2017 .,1,3,2
772,女生 phd ， 请 问 房子 还 可以 租 吗 ？,1,3,2
773,里程数 ： 60，000 mile 左右 。,3,4,1
775,有偿 求 ride ， 可以 一起 租车 走 ！,2,4,2
776,求 ride ， 非常 感谢,1,3,2
777,再者 waiver 填 表格 麻烦 吗 ？,1,2,1
778,如 标题 ， 求 几 天 短 租用 来 寻 个 住处 在 我 两 个 房屋 lease 之间 过渡 。,17,19,2
780,价格 8200$ ， cash only ， 当天 办理 title 转让 手续 。,3,7,4
781,office 人 很 好 。,0,3,3
782,出租 的 房间 是 二 层 两 个 bedroom 其中 的 一 间 。,8,9,1
783,顺便 说 ： office 的 人 很 nice 的 ～,3,5,2
784,hi 同学 ， 你 找到 ride 了 吗 ？,1,2,1
786,更新 ： 已经 决定 坐 bus 了 ， 谢谢 大家 ！,5,6,1
787,本人 男 ， 在 读 phd ， 对 具体 的 房间 没有 要求 ， 床 和 桌子 我 自己 也 可以 带 过去 ， 所以 只 希望 有 个 能 睡觉 的 房间 就 好 。,5,7,2
788,hi ， 如 题 ， 往返 boston ， 6 .,0,9,9
791,两 层 ， 五 个 卧室 ， 两 个 full 卫生间 ( 都 有 浴缸 ) 。,9,11,2
792,group lease 可以 优惠 。,0,4,4
794,update : 已 出租 至 九月 末 。,0,2,2
795,小区 门口 就 有 bus ， 却 学校 方便 。,4,6,2
796,方便 提供 ride 的 同学 ， 请 联系 电话 pn-6 ， 感谢 ！,2,3,1
797,二 楼 living room （ 带 一 个 卫生间 ） ， kitchen ， dining room 。,2,4,2
798,college court 一 室 一 厅 ， 家具 ， 水 ， 电 ， 网 ， 全 包 ： $690 / month ， 六月 中旬 拎包 入住 。,20,2,2
799,小区 有 自己 的 住户 网站 ， 所有 request 都 可以 在 网上 完成 ， 或者 打 电话 。,8,18,10
800,入住 时间 是 年 ， lease 的 期限 是 一 年 到 。,5,7,2
803,要求 安静 ， 安静 ， 安静 不 开 party ， 干净 。,8,10,2
804,house 和 apartment 都 可以 。,0,3,3
805,queen size 床 一 个 。,0,4,4
807,租房 时 没 注意 ， 发现 orientation 比 lease 要 早 一 周 ， 所以 找 一 个 带 独立 卫浴 的 房间 过渡 这 一 周 。,6,8,2
808,一 楼 living room ， kitchen ， dining room ， 一 个 卫生间 .,2,7,5
810,目前 针对 学生 需要 打包 用 的 箱子 全部 free 哦 ！,9,10,1
811,如果 我 签 一 年 的 合同 ， 是 和 你 签 还是 和 officer 签 。,14,2,1
812,提供 ride ， 5 .,1,3,2
813,安静 、 不 开 party 、 作息 规律 。,4,6,2
814,求 ride 去 纽约 ！,1,2,1
815,全新 lease 8/5/2017-7/31/2018 。,1,3,2
816,所以 这些 东西 全部 都 送给 要 续签 这个 lease 的 人 。,9,11,2
818,房间 很 大 ， 每 个 人 独立 的 bedroom 和 bathroom ， utility 基本 全 包 ， furnished ， 免费 停车 。,9,10,1
819,king size 的 床 。,0,1,1
822,house 三 层 ， 三 卧室 ， 独立 卫生间 ， 短 租 一 楼 楼 卧室 。,0,1,1
824,update : 小 暖气 、 小 桌子 、 椅子 、 落地 灯 已 出 欢迎 询问 其他 ， 家具 都 非常 新 ， 性价比 高 ， 基本 都 半价 及 半价 以下 出售 。,0,2,2
825,fully furnished studio ， 基本 家具 都 用 ， 水电 网络 电视 cable + 日常 维修 等等 全 包 。,1,5,4
826,洗衣房 在 同 一 幢 building 里面 ， $1 .,5,6,1
827,送 brother 无线 打印机 一 台 。,1,2,1
829,两 间 房 share 一 个 洗手间 ， 四 人 share 厨房 和 公共 空间 。,3,4,1
830,不 需要 签 麻烦 的 lease ， 拎包 入住 ！,5,8,3
834,本 房 较 新 ， 位 于 三 楼 ， 是 四 人间 apartment 其中 一 间 。,13,15,2
835,如果 您 有心 想 签 这个 lease ， 可以 联系 我 em@25,6,9,3
836,你 是 不 是 还在 为 summer 找 不 到 房子 而 发愁 ？,6,7,1
