,random_non_cs_1_word,word_freq_zh,cs_word_pos_zh,cs_word_length_zh,sentence_length_zh,ngram_surp_zh
44,出租,10.550818733744295,VV,2,11,7.1670523
45,，,24.01388396175678,PU,1,10,4.1666403
46,妹子,15.766925929188604,NR,2,10,7.21781
47,，,24.01388396175678,PU,1,29,4.1666403
48,并且,8.458645571635328,AD,2,7,5.7279725
49,。,24.01388396175678,PU,1,10,3.0268083
50,。,24.01388396175678,PU,1,7,3.2921076
51,床,11.770828682629073,NN,1,7,7.1807833
52,135,11.709134084037862,CD,3,4,5.8729563
53,。,24.01388396175678,PU,1,13,3.0130775
54,床,11.770828682629073,NN,1,17,7.2962327
55,很,6.723622818117736,AD,1,13,7.1670523
56,家具,11.90869298800786,NN,2,13,7.1670523
57,自行,10.262249744220124,AD,2,15,7.2138476
58,安全,8.193192826738375,NN,2,21,7.1598167
59,张,9.412635647291534,NR,1,19,6.6080832
60,，,24.01388396175678,PU,1,8,4.1666403
61,！,24.01388396175678,PU,1,5,5.9435697
62,ymin,24.01388396175678,NR,4,6,7.1598167
63,大,6.052994150617842,VA,1,10,6.119012
64,同学,10.752844448643357,NN,2,7,7.235478
65,需,8.901471342720486,VV,1,24,7.1735477
66,一,4.847867458993145,CD,1,7,5.320925
67,是,4.463178522257185,VC,1,10,4.3110814
68,七,7.4076483314314965,CD,1,11,6.6978993
69,价格,7.848898331790275,NN,2,19,7.344206
70,大,6.052994150617842,VA,1,28,6.132743
71,两,6.622455166510385,CD,1,10,7.481098
72,超市,13.01311834356568,NN,2,16,7.237905
73,有,5.134998086658783,VE,1,20,5.2985525
74,：,24.01388396175678,PU,1,9,4.4590845
75,续签,15.695385641252443,VV,2,14,7.1670523
76,就,6.133440848420254,AD,1,7,7.3426747
77,地下室,13.362240345629909,NN,3,5,7.3514414
78,。,24.01388396175678,PU,1,8,3.0130775
79,。,24.01388396175678,PU,1,5,3.0130775
80,。,24.01388396175678,PU,1,5,3.0130775
81,出租,10.550818733744295,VV,2,12,7.1670523
82,的,2.7277528723935442,DEG,1,10,4.1759996
83,，,24.01388396175678,PU,1,13,4.1666403
84,客厅,12.531830160453639,NN,2,8,7.3514414
85,、,24.01388396175678,PU,1,7,4.3740377
86,！,24.01388396175678,PU,1,5,5.9298387
87,卧室,13.152579930518,NN,2,18,7.1670523
88,。,24.01388396175678,PU,1,14,3.0130775
89,尽量,10.38156213647481,AD,2,6,7.239988
90,价格,7.848898331790275,NN,2,5,7.1735477
91,，,24.01388396175678,PU,1,9,4.309347
92,也,5.753495111341643,AD,1,18,6.8726544
93,复印,12.785179897609353,VV,2,7,7.1670523
94,。,24.01388396175678,PU,1,7,3.0268083
95,厅,9.59935175500953,NN,1,10,7.2162104
96,可以,6.39906961183706,VV,2,5,7.1735477
97,。,24.01388396175678,PU,1,5,3.0130775
98,；,24.01388396175678,PU,1,4,4.947908
99,+,11.540073056037134,PU,1,7,3.6409025
100,。,24.01388396175678,PU,1,17,3.1307662
101,衣柜,15.104243359313683,NN,2,10,7.2138476
102,厨房,11.582833448300246,NN,2,9,7.239988
103,是,4.463178522257185,VC,1,5,4.3110814
104,种,5.5685946965544995,M,1,25,6.558925
105,公用,11.076865105703106,JJ,2,12,7.180354
106,房子,10.313797723407998,NN,2,5,7.0391965
107,价格,7.848898331790275,NN,2,9,7.2327523
108,，,24.01388396175678,PU,1,16,4.1666403
109,是,4.463178522257185,VC,1,8,4.3925543
110,9,7.892600497279458,CD,1,11,4.4019246
111,可,7.093452252120851,AD,1,8,6.3825297
112,。,24.01388396175678,PU,1,7,3.0130775
113,房子,10.313797723407998,NN,2,7,7.0391965
114,可以,6.39906961183706,VV,2,10,7.2327523
115,希望,8.3490009018571,VV,2,16,6.8569107
116,白粉,17.742895529898483,NR,2,11,7.1807833
117,位置,9.278003801830641,NN,2,12,6.572656
118,房间,10.717802599032664,NN,2,9,7.3514414
119,个,5.928795457736317,M,1,20,5.762203
120,到,5.759027415452407,VV,1,13,4.4722433
121,，,24.01388396175678,PU,1,15,4.1666403
122,末,10.285564433282318,LC,1,20,7.8836226
123,包括,7.554905600345983,VV,2,10,5.7800136
124,大,6.052994150617842,VA,1,6,6.119012
125,这些,6.922170170475861,PN,2,8,7.1670523
126,根据,7.36125809408011,P,2,9,6.329227
127,看,6.722812177952763,VV,1,7,6.6057205
128,！,24.01388396175678,PU,1,5,5.9298387
129,个,5.928795457736317,M,1,8,5.809259
130,你,6.96104287928241,PN,1,11,6.572656
131,独立,8.339548920200428,VA,2,7,7.2421484
132,等,6.521506132939263,VV,1,6,5.683073
133,租金,11.203899802738214,NN,2,22,7.890858
134,例子,9.98316364191848,NN,2,16,6.8726544
135,多,6.461691106083062,VA,1,18,7.1142764
136,出租,10.550818733744295,VV,2,7,7.316704
137,：,24.01388396175678,PU,1,7,4.5010443
138,可以,6.39906961183706,VV,2,12,7.1598167
139,租,11.570895045732026,VV,1,9,7.1807833
140,便利,10.744460123685712,VA,2,16,7.1807833
141,工作,5.9998331040032795,NN,2,13,6.572656
142,楼,9.712738211508153,NN,1,21,7.2162104
143,生活,6.89528478431579,NN,2,19,6.8863854
144,开通,12.218972616879652,VV,2,18,7.1807833
145,有,5.134998086658783,VE,1,9,5.225617
