retrained_eng_dep_surp,retrained_zh_dep_surp
4.9383836,4.4210234
4.7332478,4.1015306
5.233766,4.2590475
6.2099457,3.6667225
3.3333716,5.403542
4.3160625,5.389685
5.07059,4.6816907
3.4796352,2.9785972
4.89922,4.785304
5.5195537,5.7867436
4.14234,4.541395
4.367829,2.628678
2.1662607,4.9688034
2.8117666,3.2338428
5.126491,4.726911
2.682855,4.45223
2.337768,7.466889
2.5967305,3.257594
5.067362,5.0498815
2.7099319,5.2238994
5.6885157,3.8198771
3.3436365,6.4293804
3.759417,4.108405
4.959493,4.6816907
4.3910017,4.456309
4.98237,4.8692803
5.039732,5.1692495
5.2382436,4.0553317
3.6787357,4.467039
4.598297,3.692515
4.482636,2.2152822
8.9875555,2.4776647
0.7372867,0.8550439
3.9602487,4.956962
4.796597,4.8052874
2.95071,4.356326
3.245649,2.7654183
3.6861627,4.3434954
1.5246245,3.2178445
3.3670793,3.812699
4.489664,4.918407
5.504575,5.693626
4.6533237,5.3426666
3.5164073,4.301361
3.6147242,2.9785972
4.3650036,5.940187
6.3983536,7.770167
2.6485126,2.8798943
1.9692953,6.547888
3.344462,4.839668
4.0185065,4.4601045
1.8754424,2.0490186
3.9422343,4.970046
2.9977286,4.2590475
4.3153777,5.7990704
4.959558,5.788172
1.2200798,4.706599
4.039437,4.945288
3.6021078,9.119097
4.5178213,3.8650324
4.4322796,3.8893812
2.8973188,5.026156
4.107034,2.4776647
2.7184696,2.0958445
0.21449684,6.2141705
3.4719782,5.3001895
3.7650113,2.7421377
3.449544,2.7481713
2.1613963,4.6890965
5.3793454,5.6784325
2.82257,3.6245193
5.07059,5.316427
2.6302812,3.9697213
1.1560348,3.575208
5.843725,4.705974
4.9383836,4.286975
5.046377,5.363909
2.8117666,3.2338428
5.339777,5.0503983
2.3304431,2.9936085
3.7196205,4.600601
5.270229,5.5167975
4.860997,5.6586595
3.6901774,4.505907
2.2606502,2.7454793
6.38031,5.198425
5.733691,6.3147993
4.242034,4.479004
4.608514,3.979954
3.2031279,3.5061996
2.4722877,2.2152822
4.3071485,5.2290745
4.68072,4.1038656
4.470468,6.289709
3.843892,4.1074495
3.5520854,4.2590475
4.860621,4.500393
2.8168657,3.0817926
2.6960657,6.630248
2.3694785,1.5625463
3.8825676,5.5913625
5.204754,2.7592392
3.344462,4.4187613
4.4435115,3.7855926
2.239367,1.6336279
4.1547785,4.4471145
3.9929812,7.0380616
5.339777,5.0503983
2.4738312,1.6336279
3.2012699,4.547199
0.21449684,1.2677679
4.064271,3.8220265
4.4123707,4.7340636
4.854369,4.8935924
4.6656146,5.4291787
6.0193377,2.4776647
4.208109,5.1225114
5.270229,4.674663
4.1872635,3.68998
2.85931,4.726911
4.627803,5.5204277
5.6988144,5.208735
5.0998063,4.0767894
2.672306,1.8012383
3.9163616,2.1755795
4.7331405,4.9224195
2.992321,2.7481713
6.5229793,3.68998
4.8365774,8.842573
4.2150674,5.389685
4.982887,4.6822343
6.442721,5.8136435
2.7414982,5.021564
5.199145,4.412046
0.7372867,7.245879
1.9346128,1.3496158
3.344462,6.225622
4.171294,4.5740256
4.925376,5.316427
3.1592522,4.9033184
4.875485,4.412046
4.571038,2.7454793
3.5883226,6.431882
4.627803,2.4776647
4.627803,4.790229
4.627803,2.4776647
3.9516168,3.8261623
3.8637261,4.3584075
3.2459435,5.431424
3.596607,5.733492
4.1758733,4.5750093
4.00895,4.7962403
3.928211,4.9317694
3.4419641,5.209229
6.1919107,4.4010787
4.3617373,4.9112587
3.8365154,1.683593
6.841606,5.9510283
4.0798454,4.4210234
4.098105,3.156942
3.2056754,3.7244303
4.04688,4.061553
4.431389,4.4189982
4.2068067,2.4776647
3.3957393,5.2021356
3.8519933,4.1160526
4.228446,2.4776647
3.4568233,4.4471145
3.5797842,3.4816618
2.584216,3.388414
0.081345186,0.7857999
4.4978247,5.7720046
2.6707532,3.672291
4.242034,4.479004
5.1405196,9.16554
4.601869,4.9033184
3.8559403,7.0380616
4.5178213,5.2311616
3.344462,5.412979
1.9346128,0.96827644
3.3438084,3.357869
3.5169232,3.5544984
1.2200798,6.3365884
2.82257,5.220824
3.1187816,4.2744017
3.1592522,4.706599
4.0284534,4.0825667
3.57784,3.818048
2.239367,1.8012383
2.239367,1.6336279
3.6253793,3.899302
4.995828,2.4776647
3.2619421,5.8531585
5.181238,4.8496685
6.4280853,3.6097124
3.5441852,3.6792333
3.5520854,4.2590475
3.778792,7.7586813
1.0552932,0.26342502
4.9360857,5.626964
3.6409786,4.138451
4.0947275,4.143612
2.3517632,3.3517952
4.03557,6.062364
2.4483914,2.2517843
3.611802,5.112917
3.1349912,1.4724629
3.1910374,3.1400187
1.1876755,5.2953486
3.9219937,5.681655
4.89922,5.281782
3.6905553,5.403542
3.9163616,3.6602583
7.9474297,5.012305
3.3950288,6.5245495
5.552395,5.1198764
4.2297378,6.5168657
5.0943947,4.957733
4.998967,4.609147
2.82257,5.2021356
5.0748367,4.639038
4.070096,5.154626
3.6337855,3.506146
4.4186225,4.0979
3.1078422,4.860791
4.0616508,4.9235044
4.6825233,4.152362
1.2210289,4.9349227
3.344462,6.225622
4.5117364,4.505907
4.394359,4.860791
6.079212,4.51601
4.3774104,4.6906385
2.768178,3.6245193
2.7324831,4.3622756
5.4322686,5.6590414
3.5370052,4.708479
3.9451997,4.2731094
2.9977286,4.2590475
2.82257,3.5906262
3.7382832,3.6667225
4.0221133,4.4210234
3.7589939,4.708479
3.4970827,4.023031
5.07059,6.062364
5.5195537,5.584358
3.62874,3.7064154
4.925376,2.4776647
3.875507,5.454584
4.3859873,4.8732557
6.2818966,3.610664
3.6021295,5.2008586
2.6103065,6.3042316
2.82257,4.706599
3.4112644,1.683593
4.4186225,4.087779
0.56311923,0.26342502
