sentence_length_zh,cs_back_word,word_freq_zh,cs_word_pos_zh,cs_word_length_zh,ngram_surp_zh
34,非常,8.291759627895480,AD,2,7.310274
10,从,6.377483472434710,P,1,5.0597463
8,一共,12.623917404187000,AD,2,5.992529
5,家具,11.90869298800790,NN,2,7.3514414
8,和,4.681213610519310,CC,1,3.5775623
8,可,7.093452252120850,AD,1,6.5610642
21,请,9.09378964655144,VV,1,7.3514414
14,卫生间,12.958432945055500,NN,3,7.3514414
12,短信,13.28962587920390,NN,2,7.3514414
8,无线,11.875683387473400,NN,2,7.3514414
15,并且,8.458645571635330,AD,2,5.4344773
9,还,6.404130924023890,AD,1,7.3514414
12,及,6.972065783256670,CC,1,4.336829
8,哦,12.653037989669800,IJ,1,5.992529
22,可以,6.39906961183706,VV,2,7.344206
6,联系,7.951912412664680,NN,2,7.3514414
16,的,2.7277528723935400,DEG,1,4.3535395
10,和,4.681213610519310,CC,1,3.5775623
11,二,6.216225093655350,CD,1,5.633144
6,或,6.86730607567808,CC,1,3.8187919
26,里面,10.463452851034900,NN,2,7.3514414
17,帮忙,11.874041934820600,VV,2,7.3514414
11,好,6.901947304013090,VA,1,6.195564
16,收发,13.544003637006200,NN,2,7.3514414
6,经历,9.12649633742232,NN,2,7.3514414
16,并且,8.458645571635330,AD,2,5.4344773
12,非常,8.291759627895480,AD,2,7.310274
25,含,10.75983814999830,VV,1,7.310274
13,或者,7.832806844992630,CC,2,4.8926983
11,的,2.7277528723935400,DEG,1,4.3535395
3,灵活,9.893430903284730,VA,2,7.3514414
10,也,5.753495111341640,AD,1,7.0391965
9,联系,7.951912412664680,NN,2,7.3514414
21,就,6.133440848420250,AD,1,7.310274
12,联系,7.951912412664680,NN,2,7.3514414
11,床,11.770828682629100,NN,1,7.3514414
16,和,4.681213610519310,CC,1,3.5775623
21,安静,11.606647560520500,VA,2,7.3514414
13,两,6.622455166510390,CD,1,7.3514414
14,及,6.972065783256670,CC,1,4.336829
7,吗,8.759761060956490,IJ,1,7.344206
13,就,6.133440848420250,AD,1,7.310274
4,出租,10.550818733744300,VV,2,7.3514414
11,一,4.847867458993150,CD,1,5.320925
10,之前,8.975234645392020,AD,2,6.734556
10,所有,7.879129443470710,DT,2,5.9269385
20,卧室,13.152579930518,NN,2,7.3514414
10,不,5.309630429407180,AD,1,6.386715
5,不,5.309630429407180,AD,1,6.386715
8,到,5.759027415452410,VV,1,4.5921493
