,Unnamed: 0,random_non_cs_1_word,word_freq_zh,non_log_word_freq_zh,neg_base_e_word_freq_zh,base_e_word_freq_zh,cs_word_pos_zh,cs_word_length_zh,sentence_length_zh,ngram_surp_zh,base_2_ngram_prob_zh,raw_ngram_prob_zh,base_10_ngram_prob_zh,base_10_ngram_surp_zh,zh_word_index,llm_surp_zh
0,0,对面,17.3748723678348,5.883587904E-06,-12.0433437943536,12.0433437943536,NN,2,26,10.9873353,-10.9873353,0.0004926,-3.3075175,3.3075175,12,30.0473499298096
1,1,的,3.9353155417727900,0.0653660105229162,-2.72775287239354,2.72775287239354,DEG,1,15,2.18679155,-2.18679155,0.21963935,-0.65828985,0.65828985,1,13.1681652069092
2,2,有,7.40823627459694,0.005887062769161,-5.13499808665878,5.13499808665878,VE,1,7,11.620264,-11.620264,0.000318,-3.498048,3.498048,2,14.8244695663452
3,3,找到,13.2266888683027,0.000104320559426,-9.16804209720761,9.16804209720761,VV,2,6,9.9650976,-9.9650976,0.0010005,-2.9997933,2.9997933,1,30.6313743591309
4,4,。,34.6447113041096,3.723E-11,-24.0138839617568,24.0138839617568,PU,1,6,4.2256065,-4.2256065,0.0534522,-1.2720343,1.2720343,5,11.7582635879517
5,5,。,34.6447113041096,3.723E-11,-24.0138839617568,24.0138839617568,PU,1,4,5.3876066,-5.3876066,0.0238874,-1.6218312,1.6218312,3,8.80827808380127
6,6,照片,14.5479086600661,4.174871562E-05,-10.0838418707684,10.0838418707684,NN,2,9,16.6906836,-16.6906836,9.5E-06,-5.0243964,5.0243964,0,16.9523615837097
7,7,房子,14.8796648282926,3.3172221854E-05,-10.313797723408,10.313797723408,NN,2,8,18.3511423,-18.3511423,3E-06,-5.5242443,5.5242443,1,18.2491345405579
8,8,：,34.6447113041096,3.723E-11,-24.0138839617568,24.0138839617568,PU,1,13,3.321092,-3.321092,0.100058,-0.9997483,0.9997483,1,20.1942100524902
9,9,。,34.6447113041096,3.723E-11,-24.0138839617568,24.0138839617568,PU,1,10,3.5563509,-3.5563509,0.0850025,-1.0705683,1.0705683,9,19.7185363769531
10,10,可以,9.23190599530059,0.00166310388576,-6.39906961183706,6.39906961183706,VV,2,10,9.9942672,-9.9942672,0.0009805,-3.0085742,3.0085742,4,38.0816316604614
