CS-1 Eng,Jargon Eng,Monolingual Eng
18.5341332,13.68798673,27.8014691
6.05284560,13.68798673,18.83765015
6.05284560,13.68798673,13.67550808
6.05284560,13.68798673,38.37322171
9.7684148,13.68798673,9.618987603
9.7684148,13.68798673,27.8014691
20.4279665,13.68798673,10.61380131
14.03693398,13.68798673,18.83765015
13.14565768,13.68798673,14.05312281
14.34141233,13.68798673,38.37322171
14.34141233,13.68798673,16.06798099
14.34141233,13.68798673,27.8014691
14.34141233,13.68798673,5.042037543
14.34141233,13.68798673,4.390295245
14.34141233,13.68798673,18.00352107
12.47237560,13.68798673,10.61380131
8.94391847,13.68798673,14.6123836
8.94391847,13.68798673,14.2718854
8.94391847,13.68798673,5.664111532
8.94391847,13.68798673,7.540658303
8.94391847,13.68798673,27.8014691
8.94391847,13.68798673,18.83765015
11.33690920,13.68798673,13.67550808
8.58984471,13.68798673,13.08382596
17.9566632,13.68798673,14.22305058
13.54724866,13.68798673,6.893883693
16.1746082,13.68798673,6.052845601
16.1746082,13.68798673,17.89601781
16.1746082,13.68798673,13.07882462
16.1746082,13.68798673,14.53730971
16.1746082,13.68798673,15.81948954
16.1746082,13.68798673,13.91046085
16.1746082,13.68798673,13.1833221
16.1746082,13.68798673,7.811006187
16.1746082,13.68798673,22.86190143
16.1746082,13.68798673,5.445697644
16.1746082,13.68798673,7.313984769
12.42036582,13.68798673,4.390295245
12.42036582,13.68798673,23.3616013
15.5333439,13.68798673,17.70310059
13.28262676,13.68798673,15.2827246
13.28262676,13.68798673,6.027637478
20.3313755,13.68798673,13.63467105
14.6662813,17.3842014,21.27758775
14.6662813,17.3842014,6.027637478
13.67244510,17.3842014,14.22305058
16.3105747,18.2410044,7.721676624
12.78268378,18.2410044,6.893883693
12.78268378,18.2410044,4.390295245
12.78268378,18.2410044,12.83923575
12.78268378,18.2410044,13.91046085
12.78268378,18.2410044,6.027637478
12.78268378,18.2410044,4.390295245
12.78268378,18.2410044,27.8014691
12.78268378,18.2410044,13.1944606
12.78268378,18.2410044,16.94824815
12.78268378,18.2410044,4.390295245
12.78268378,18.2410044,10.634613
12.78268378,18.2410044,16.80933793
12.78268378,18.2410044,5.042037543
12.78268378,18.2410044,17.89601781
12.78268378,18.2410044,5.445697644
12.78268378,18.2410044,12.45246621
12.78268378,18.2410044,9.723464137
12.78268378,18.2410044,23.02459728
14.39314159,18.2410044,7.540658303
14.39314159,18.2410044,9.603907803
14.39314159,18.2410044,17.35714389
14.39314159,18.2410044,4.390295245
14.39314159,18.2410044,12.79336471
10.98088336,18.2410044,15.10700536
18.6946560,18.2410044,14.55189546
17.5656137,18.2410044,5.664111532
17.8237059,18.2410044,4.390295245
14.41577262,18.2410044,10.18339374
14.41577262,18.2410044,13.91046085
14.41577262,18.2410044,5.445697644
14.41577262,18.2410044,13.43225163
14.41577262,18.2410044,4.390295245
19.4983484,18.2410044,19.0114
17.0131618,18.2410044,6.052845601
17.0131618,18.2410044,18.23571268
17.0131618,18.2410044,13.21874057
17.0131618,18.2410044,13.71417117
17.0131618,18.2410044,15.2435697
17.0131618,18.2410044,4.390295245
17.0131618,18.2410044,13.58587458
17.0131618,18.2410044,5.042037543
15.977611,18.2410044,21.12144345
16.7143143,18.2410044,11.46280033
16.7143143,18.2410044,4.390295245
16.7143143,18.2410044,11.84986672
16.7143143,18.2410044,27.04174489
16.7143143,18.2410044,12.15704311
16.7143143,18.2410044,9.38594471
16.7143143,18.2410044,14.60704831
26.0225587,18.2410044,14.34656758
26.0225587,18.2410044,12.58818551
26.0225587,18.2410044,14.03558511
26.0225587,18.2410044,5.445697644
17.4651707,18.2410044,8.07822002
18.5270029,18.2410044,19.18972929
15.9701736,18.2410044,11.27207569
15.9701736,18.2410044,4.390295245
15.9701736,18.2410044,16.17310166
15.9701736,18.2410044,13.71417117
15.9701736,18.2410044,18.22721122
15.9701736,17.3410018,4.390295245
15.9701736,17.3410018,13.91046085
