,Unnamed: 0,word_freq_zh,cs_word_pos_zh,cs_word_length_zh,ngram_surp_zh,zh_word_index
973,973,13.8076208478473,NN,2,17.3279725,3
974,974,8.30852029261678,VV,1,7.8110801,3
975,975,6.9939943419764,CD,1,14.7728521,1
976,976,8.35584676087881,NN,1,11.2204642,16
977,977,9.23190599530059,VV,2,7.5042668,2
978,978,11.4721846033347,NN,2,9.3059809,3
979,979,11.4721846033347,NN,2,9.3059809,8
980,980,12.6828320848008,AD,1,12.3578104,1
981,981,6.75356366123813,CC,1,4.9087331,5
982,982,16.7104963753055,NN,2,11.7016764,1
983,983,13.9411895645279,VV,1,10.3133324,7
984,984,14.1215054409475,NN,1,15.7636494,4
985,985,3.9353155417727903,DEG,1,4.1132373,2
986,986,10.058564730256,CC,1,7.4988637,9
987,987,18.6950669475237,NN,3,18.67179,11
988,988,15.2778576550483,CD,3,27.193111,11
989,989,15.4625206588513,NN,2,17.855666,2
990,990,11.0102553979055,VE,1,13.703874,5
991,991,17.7695979267092,VA,2,17.4166886,13
992,992,8.84868469560169,AD,1,7.493413,4
993,993,18.6059208877136,NN,2,19.807036,4
994,994,19.5398668808909,NN,2,20.1439238,11
995,995,10.5234689355324,AD,1,12.6986292,9
996,996,8.30852029261678,VV,1,8.680517,2
997,997,3.9353155417727903,DEG,1,0.837586,10
998,998,7.40823627459694,VE,1,8.1311841,4
999,999,34.6447113041096,NT,10,8.397652,5
1000,1000,20.7125888462294,NN,2,20.1905318,2
1001,1001,9.23190599530059,VV,2,8.8498938,5
1002,1002,20.7125888462294,NN,2,19.6225279,1
1003,1003,14.7107930563368,NN,2,18.3240859,1
1004,1004,9.20076377903289,P,1,8.9344638,12
1005,1005,6.51320196568733,P,1,8.731067,5
1006,1006,11.9624804954081,AD,2,13.865585,3
1007,1007,16.7833699128667,VV,2,18.731608,1
1008,1008,11.9624804954081,AD,2,11.9962969,2
1009,1009,16.7104963753055,NN,2,18.1311141,4
1010,1010,16.7448528769089,VA,2,20.110494,10
1011,1011,16.4727624551857,VV,1,23.88657,12
1012,1012,8.96811711566611,CD,1,11.3288601,8
1013,1013,7.40823627459694,VE,1,8.1311841,21
1014,1014,12.4409818540729,AD,1,12.798333,4
1015,1015,6.75356366123813,CC,1,5.2760696,4
1016,1016,22.7269662906664,VA,2,19.7405026,8
1017,1017,7.40823627459694,VE,1,4.8565267,1
1018,1018,9.70013729650634,AD,1,12.0754319,9
