eng_surp,zh_surp,
4.2655845,4.308516,0.0429315
4.688367,4.218408,-0.469959
4.3997364,5.2029443,0.8032079
5.9345765,3.7550967,-2.1794798
4.41731,4.4660563,0.0487463
3.2116773,4.975014,1.7633367
2.1418862,4.1739926,2.0321064
1.6965377,1.9833683,0.2868306
2.7746153,6.146909,3.3722937
5.65363,4.4660563,-1.1875737
3.096243,4.6828575,1.5866145
4.155232,5.8242803,1.6690483
1.748195,3.4052975,1.6571025
2.3193672,5.7341723,3.4148051
3.8562539,4.4660563,0.6098024
2.6976342,5.9818206,3.2841864
2.084919,4.4660563,2.3811373
2.0010061,6.4698553,4.4688492
2.3988369,2.9479084,0.5490715
3.0274775,6.1990705,3.171593
3.0131476,3.107055,0.0939074
1.2628454,4.8887825,3.6259371
3.0666316,5.748208,2.6815764
4.0280647,4.1739926,0.1459279
5.1485186,4.8716683,-0.2768503
5.741343,4.4660563,-1.2752867
3.927355,5.899261,1.971906
6.633834,3.1770546,-3.4567794
2.4129214,5.5611053,3.1481839
2.5614035,4.4660563,1.9046528
2.3847637,2.8394465,0.4546828
6.1589212,2.5424733,-3.6164479
0.5614988,4.232131,3.6706322
3.0267448,4.0260386,0.9992938
4.383682,6.1990705,1.8153885
3.1863427,5.1613855,1.9750428
3.029423,5.9818206,2.9523976
2.5989726,3.8280911,1.2291185
1.0239756,2.5507884,1.5268128
4.034812,5.4256372,1.3908252
3.5759506,4.4660563,0.8901057
2.5025635,4.308516,1.8059525
3.8231523,4.4660563,0.642904
3.2389026,4.536529,1.2976264
1.9666847,1.9833683,0.0166836
5.618305,4.4660563,-1.1522487
6.7172103,5.748208,-0.9690023
1.6429392,4.5835314,2.9405922
1.9119033,4.4660563,2.554153
3.0263615,5.748208,2.7218465
4.466194,5.748208,1.282014
1.9204001,4.8150225,2.8946224
3.6092257,6.1990705,2.5898448
3.3210077,5.2029443,1.8819366
3.775506,6.1155834,2.3400774
2.7882051,3.2763515,0.4881464
1.106678,3.0157926,1.9091146
3.6865537,5.748208,2.0616543
3.768805,6.1578684,2.3890634
4.211484,3.9158835,-0.2956005
3.6267934,3.218973,-0.4078204
3.4934692,5.9818206,2.4883514
2.1044111,2.5424733,0.4380622
2.6417906,5.8242803,3.1824897
0.36410666,3.8030663,3.43895964
3.5094328,5.431648,1.9222152
1.1140058,5.0582786,3.9442728
2.716649,5.689757,2.973108
3.095038,5.7341723,2.6391343
3.372514,6.1578684,2.7853544
2.380881,2.8375175,0.4566365
2.1418862,4.4660563,2.3241701
2.6841838,4.218408,1.5342242
1.0398023,5.560794,4.5209917
4.4406157,4.4660563,0.0254406
4.2655845,6.04153,1.7759455
3.9381802,4.4660563,0.5278761
2.3193672,5.7341723,3.4148051
5.65363,6.1990705,0.5454405
3.7386787,3.4699302,-0.2687485
3.910454,4.218408,0.307954
3.9428484,4.4660563,0.5232079
6.0469766,4.4660563,-1.5809203
3.0992184,3.4699302,0.3707118
2.374174,4.181172,1.806998
5.6390133,5.014654,-0.6243593
4.131802,4.4660563,0.3342543
3.511963,5.951422,2.439459
6.209166,5.6488976,-0.5602684
2.6700501,2.7428474,0.0727973
1.7906519,2.8394465,1.0487946
3.683558,4.0260386,0.3424806
4.4961905,4.4660563,-0.0301342
5.167466,5.748208,0.580742
3.009388,2.7349885,-0.2743995
3.837476,5.2029443,1.3654683
3.0610082,2.8042257,-0.2567825
2.8079748,5.6076956,2.7997208
3.2325914,5.4948006,2.2622092
2.9495134,4.777632,1.8281186
3.2266521,4.4660563,1.2394042
4.748798,2.6916924,-2.0571056
