retrained_eng_ngram_surp,retrained_zh_ngram_surp
5.9844146,7.3514414
6.4799466,7.3514414
5.313124,7.0391965
6.143123,7.21781
3.0137546,6.8726544
6.7056246,7.8777566
5.4684186,7.2971773
6.4378448,7.297524
5.3676314,7.1598167
2.8165655,7.1875896
5.3676314,7.1598167
7.833792,7.249384
3.871367,7.2971773
5.362735,6.6978993
3.5192614,7.269732
5.27452,6.558925
4.2677684,7.1670523
4.6611304,7.1670523
8.177593,5.225617
5.8404775,7.481098
7.681592,6.8726544
3.8607588,7.2278123
4.784338,7.1598167
8.248479,7.3514414
4.8219643,7.1670523
3.3773713,6.757104
3.5647757,7.8777566
8.790833,7.0391965
7.8859935,7.2971773
4.9370923,8.026758
2.6528378,7.1807833
7.8859935,7.2971773
4.3775554,5.320925
3.5192614,7.269732
5.830504,7.1670523
4.045137,7.1807833
3.4091346,7.3904843
2.3358037,7.21781
8.506615,7.2162104
7.0148273,7.3514414
7.70708,7.239988
2.4515593,7.1940947
5.274638,7.3514414
7.8276305,6.558925
6.018071,6.8726544
4.553756,6.3303742
4.350958,7.4738626
2.6950684,7.21781
3.5708385,7.269732
4.2677684,7.1670523
7.53318,7.259735
8.72425,7.1807833
5.313124,7.310274
1.2904496,7.870521
5.093404,7.249384
3.7303376,7.21781
7.8870516,6.3825297
3.9192178,5.7800136
3.2539513,7.239988
7.9273634,7.1670523
7.131069,6.4618325
4.5258045,6.207384
4.251194,7.289942
5.548935,6.8129935
7.712246,4.552072
5.1401396,6.4332876
4.0504346,6.8726544
3.873515,7.21781
3.3978915,7.1807833
5.0624413,7.2234406
3.0137546,6.8726544
3.9120283,6.277976
3.1176898,7.1875896
4.587,5.9116597
8.248479,7.3514414
3.456079,6.8863854
6.548449,7.1598167
4.008016,6.8142934
4.203824,7.3514414
8.936988,7.275574
5.250582,7.1670523
8.248479,7.3514414
1.3731251,6.8726544
4.553756,6.968143
2.7030337,7.2971773
5.0669274,7.239988
3.345914,7.1807833
5.313124,7.0391965
2.9460146,7.39772
7.654857,6.8343325
7.157318,6.386715
7.3537393,7.1670523
7.177264,7.1670523
2.0013092,6.6042795
7.8680477,7.1807833
5.042717,7.3514414
2.6439528,7.1807833
2.8328552,7.1670523
6.7056246,7.8777566
3.6388714,5.653321
6.0386944,7.2348633
4.4131722,7.2971773
4.542842,7.1875896
6.2193484,7.3514414
3.0988674,6.8967996
3.8952818,7.1807833
6.1008515,7.21781
7.6812205,6.8726544
4.660014,7.1807833
3.0137546,6.8726544
3.0137546,7.1670523
3.0137546,6.8726544
5.3676314,6.8726544
8.116379,7.290515
3.6474636,7.1807833
6.056311,7.2971773
1.4100866,7.0391965
5.313124,7.0391965
7.9665823,7.1670523
3.0787773,7.269732
6.7056246,7.2971773
7.7979164,7.1950088
3.048534,7.21781
5.0442643,7.1807833
3.469161,7.1807833
4.3745894,7.1807833
8.5649805,7.2683387
5.3676314,7.1807833
6.425007,6.914836
8.067512,7.1875896
3.8546646,7.1875896
3.196344,6.8726544
6.7056246,6.315496
3.0137546,6.8726544
6.2249837,4.1759996
7.4145393,7.1670523
7.781237,7.39772
8.248479,5.783617
8.993547,6.8863854
7.7912426,6.3825297
8.749831,6.8726544
8.248479,7.1875896
6.7056246,6.7014213
7.8859935,7.2971773
4.350958,7.4738626
4.7641683,7.1875896
4.081951,7.3514414
6.5626197,7.3514414
4.2033787,7.21781
5.1332912,6.8967996
3.9471877,7.3514414
4.6678314,7.290987
5.3676314,6.996589
5.5291753,7.3514414
3.9668784,7.1807833
6.413829,7.3514414
8.514268,7.2971773
4.7872653,6.6978993
8.888603,7.1447806
4.4626384,7.1598167
5.2533484,7.3514414
5.3676314,6.8863854
3.0667005,7.198451
7.8859935,7.2971773
4.859223,7.239988
6.1008515,7.3514414
7.2217813,7.1807833
3.3592222,7.269732
7.879553,7.1670523
3.0137546,7.1670523
2.830359,4.9270983
5.313124,7.0391965
3.4706922,7.1875896
3.0112596,7.1875896
5.4049664,5.470902
8.000088,7.21781
3.469161,7.344206
4.553756,6.3303742
5.129482,7.239988
8.752554,7.0391965
7.5991654,7.3514414
4.8584094,7.1670523
8.214949,7.1807833
8.850637,6.91945
7.70976,7.1875896
5.4049664,2.4611259
4.527731,6.3242297
7.654897,6.893192
6.2028685,7.3514414
4.545998,7.239988
2.8152194,7.1807833
4.876237,7.21781
3.6417081,7.1670523
3.9303598,7.21781
8.638679,6.8726544
8.873336,7.0391965
7.817838,5.7636557
4.6029277,7.1807833
4.439355,7.0391965
7.8276305,6.558925
4.132204,6.8726544
4.9370923,7.1875896
4.5506535,7.1875896
7.796556,7.1875896
4.3388443,6.415766
7.4386005,7.1875896
3.4599493,6.6258574
6.20313,7.257902
7.9025974,7.239988
7.3194575,6.3021226
3.6030784,7.1670523
3.8629644,6.2574387
7.8276305,6.558925
7.187496,7.1807833
7.761259,6.8726544
4.999133,7.2962327
8.248479,6.284638
3.8552983,6.8726544
7.4942155,7.0391965
3.8130605,7.239988
8.248479,7.0391965
7.2690377,7.239988
4.101682,7.2962327
5.3676314,6.8726544
