retrained_eng_dep_surp,retrained_zh_dep_surp
3.437775,5.4529877
4.802618,5.815536
3.5520854,4.2590475
5.07059,3.6569927
2.9977286,4.729782
6.397855,6.324594
4.210437,4.927993
4.147177,5.2408514
6.1919107,4.30866
2.5750613,3.922511
6.1919107,1.6549101
4.5789595,2.4659207
3.692798,2.5596662
2.8117666,3.436875
3.4568233,4.2478914
8.063031,3.1693678
3.344462,6.225622
2.5187721,2.617348
3.1592522,1.420219
5.684024,5.4116497
3.6750517,4.630366
5.083554,5.5334845
4.2273364,5.2231584
6.766135,6.2402983
5.4136434,5.374623
2.927836,4.889943
2.2626789,3.5633063
2.6714833,4.729782
4.925376,3.6569927
4.802618,5.5680537
4.5009704,3.975411
4.925376,6.278286
1.4765079,0.8550439
3.4568233,4.2478914
4.658716,4.7896338
3.7753577,5.298877
2.672306,4.35992
5.383753,3.755331
3.6325114,2.6929011
4.6296206,4.0230613
8.916941,5.7171035
3.6750517,4.281067
5.034617,6.417361
4.5009704,4.301361
4.6702914,4.630366
4.212377,3.7438173
4.0074234,4.341498
2.6785066,2.773131
3.4538605,4.383787
3.344462,6.881863
5.07059,3.6569927
5.143304,3.6357024
3.9798412,4.039695
3.6325114,4.039695
3.6664047,4.0942783
4.9738984,5.573777
3.1592522,1.153662
3.8520398,2.8318784
1.8030436,2.1755795
5.008115,5.7779155
4.485474,7.4588413
4.0206842,4.9158072
5.07059,4.244967
2.304197,5.3508577
4.777488,3.139637
3.5129318,4.0553317
4.0686326,3.0907154
2.6785066,2.773131
3.4568233,4.383787
4.5990367,3.281155
2.9977286,4.729782
4.212377,3.5889604
4.542357,4.7896338
1.9433749,3.5131648
4.3153777,5.584358
3.5520854,5.246228
3.9469578,4.984243
2.8117666,3.436875
3.3941767,4.30521
5.4739428,3.931867
3.306919,5.0218472
4.2924376,5.325164
4.4481955,4.729782
4.212377,3.7438173
2.9920204,8.877768
5.364864,5.0842457
3.1592522,6.881962
3.5520854,4.2590475
2.672306,5.0516696
4.564543,3.627638
5.827217,1.3474933
4.6712565,5.094101
5.073582,4.286975
4.9934893,4.636948
4.243341,5.447571
4.9383836,4.286975
3.6409786,4.500393
1.8030436,2.1755795
4.541621,3.95049
4.187674,0.8550439
5.07059,1.6549101
4.5957217,5.7171035
4.925376,3.6569927
5.8797455,1.8560958
3.9446323,3.3830647
4.1162496,3.5608456
4.0798454,4.405602
4.313882,4.2590475
4.0206842,1.6336279
2.9977286,4.2590475
4.313882,2.1747847
2.9977286,4.729782
6.1919107,4.630366
4.860621,4.6436067
3.691562,7.6101375
6.1608567,6.4219713
4.0243797,4.729782
2.9977286,4.2590475
3.8092492,5.094101
6.1300416,6.4936576
4.7315907,3.6569927
3.8471599,2.0615175
3.9135578,4.7735257
4.7867785,1.6336279
0.21449684,3.565378
4.2882047,4.405602
4.3905087,3.5719485
6.1919107,4.8267264
6.573238,2.2487795
3.5418568,6.135291
3.8891895,5.7019057
5.07059,4.2590475
3.6325114,5.196953
2.9977286,4.729782
4.9934893,5.382288
4.313882,2.1747847
2.6361372,3.1477654
8.29319,5.0108223
4.4732065,4.838118
3.1592522,1.153662
3.3902857,4.729782
3.9798412,3.6357024
2.501516,1.4724629
4.925376,3.6569927
4.0074234,4.341498
4.8666472,3.6569927
5.07059,5.7990704
6.6273994,4.286975
3.2459435,4.913077
4.32178,4.630366
3.3046064,4.481549
3.691562,7.869678
6.1919107,4.630366
3.3694851,4.4990754
3.3240786,3.780065
4.778108,4.880096
4.4422007,3.6569927
4.180908,3.6546462
3.6325114,4.729782
3.984654,4.538934
4.1903696,3.7658312
6.1919107,4.541395
3.691562,7.7414207
4.925376,3.6569927
3.1239405,5.815536
4.9383836,4.405602
4.627803,3.6569927
3.6664047,4.2478914
4.6886015,3.3847997
4.313882,2.1747847
1.2553647,2.03028
3.5520854,4.2590475
2.7283134,4.9110556
4.2233443,4.9110556
3.1592522,1.7175963
3.3849049,5.0842457
0.21449684,5.4143305
4.212377,3.7438173
5.034617,5.0214252
3.9587958,3.3830647
7.372244,6.0261006
3.683189,2.2646356
3.6170087,2.361155
3.6325114,4.729782
9.450481,5.7171035
3.1592522,1.153662
2.8117666,3.436875
5.07059,4.2590475
4.988088,1.6336279
5.092224,1.6336279
3.2361426,5.6460834
4.0667686,3.6569927
3.2748713,5.228038
5.181238,4.8496685
4.4935017,4.729782
3.8059497,4.2590475
4.5009704,1.683593
4.1162496,3.5608456
3.1902611,4.0550528
4.5009704,4.301361
3.8717375,5.067868
2.6084533,3.6569927
3.7166984,7.5757766
4.627803,6.062364
5.199145,2.2517843
8.17183,5.7171035
2.82257,1.4724629
6.6273994,4.286975
6.2176657,4.011078
4.212377,3.5889604
3.4538605,2.2487795
4.212377,3.5889604
4.3895707,1.490585
4.777488,4.487596
3.9798412,4.729782
3.5441852,4.167546
4.9934893,4.0868096
3.9798412,5.135442
3.0578847,4.729782
3.691562,7.7414207
4.7891965,5.135442
5.0818653,4.877475
3.734328,4.167546
6.1919107,4.630366
5.690788,5.2920623
5.999365,4.7376466
4.68072,4.729782
4.064271,1.4724629
3.5520854,4.2590475
5.143304,4.2590475
4.494228,1.6549101
4.5414214,2.936224
4.347122,4.405602
4.212377,5.1291733
3.4568233,1.364468
3.9798412,4.2590475
4.587196,4.2590475
